Model,Device,Threads,ms/frame Pixel,ms/frame Hikey,Lfreq,Bfreq,Temperature
quant,CPU,1,60,121,900,1600,76.7
quant,CPU,2,31,78,1113,1050,77.0
quant,CPU,3,22,63,1580,703,77.2
quant,CPU,4,17,62,1150,710,77.6
quant,CPU,5,22,63,950,690,77.4
quant,CPU,6,21,66,750,692,77.4
quant,CPU,7,26,72,735,685,77.3
quant,CPU,8,26,82,800,682,77.2
quant,NNAPI,1,6,116,820,1511,76.5
quant,NNAPI,2,6,82,1310,860,76.6
quant,NNAPI,3,6,66,1500,695,76.8
quant,NNAPI,4,6,66,1000,700,77.3
quant,NNAPI,5,6,56,509,682,79.0
quant,NNAPI,6,6,58,509,682,80.0
quant,NNAPI,7,6,82,509,682,80.3
quant,NNAPI,8,6,102,509,682,80.2
float,CPU,1,80,140,509,682,94.7
float,CPU,2,41,97,509,682,94.5
float,CPU,3,33,81,509,682,94.6
float,CPU,4,28,84,509,682,95.1
float,CPU,5,30,97,509,682,94.9
float,CPU,6,30,96,509,682,95.4
float,CPU,7,34,102,509,682,95.4
float,CPU,8,34,114,509,682,95.4
float,GPU,1,8,102,509,682,87.2
float,GPU,2,8,102,509,682,85.0
float,GPU,3,8,102,509,682,84.1
float,GPU,4,8,102,509,682,83.0
float,GPU,5,8,102,509,682,82.8
float,GPU,6,8,102,509,682,82.3
float,GPU,7,8,102,509,682,81.9
float,GPU,8,8,102,509,682,81.8
float,NNAPI,1,109,142,509,682,93.6
float,NNAPI,2,109,90,509,682,94.8
float,NNAPI,3,109,80,509,682,94.7
float,NNAPI,4,109,87,509,682,95.0
float,NNAPI,5,109,98,509,682,95.0
float,NNAPI,6,109,95,509,682,95.3
float,NNAPI,7,108,103,509,682,95.5
float,NNAPI,8,109,118,509,682,95.5
