Model,Device,Threads,ms/frame Hikey,Lfreq,Bfreq,Temperature
quant,CPU,1,61,1844,2362,44.7
quant,CPU,2,33,1844,2362,58.5
quant,CPU,3,24,1844,2362,69.1
quant,CPU,4,21,1844,2362,75.9
quant,CPU,5,23,1844,2362,77.7
quant,CPU,6,25,1844,2362,78.0
quant,CPU,7,32,1844,2362,77.1
quant,CPU,8,64,1844,2362,73.7
quant,NNAPI,1,62,1844,2362,47.7
quant,NNAPI,2,33,1844,2362,61.3
quant,NNAPI,3,24,1844,2362,70.7
quant,NNAPI,4,21,1844,2362,76.0
quant,NNAPI,5,23,1844,2362,78.2
quant,NNAPI,6,25,1844,2362,78.6
quant,NNAPI,7,33,1844,2362,77.2
quant,NNAPI,8,63,1844,2362,74.3
float,CPU,1,135,1844,2362,51.4
float,CPU,2,68,1844,2362,63.3
float,CPU,3,48,1844,2362,75.2
float,CPU,4,42,1844,2362,83.6
float,CPU,5,44,1844,2362,82.4
float,CPU,6,45,1844,2362,82.1
float,CPU,7,58,1844,2362,81.1
float,CPU,8,88,1844,2362,78.2
float,GPU,1,21,1844,2362,46.1
float,GPU,2,21,1844,2362,45.5
float,GPU,3,21,1844,2362,45.5
float,GPU,4,21,1844,2362,45.5
float,GPU,5,21,1844,2362,44.4
float,GPU,6,21,1844,2362,45.6
float,GPU,7,21,1844,2362,45.1
float,GPU,8,21,1844,2362,44.6
float,NNAPI,1,134,1844,2362,49.8
float,NNAPI,2,68,1844,2362,59.5
float,NNAPI,3,48,1844,2362,75.3
float,NNAPI,4,41,1844,2362,83.6
float,NNAPI,5,45,1844,2362,82.7
float,NNAPI,6,45,1844,2362,82.2
float,NNAPI,7,59,1844,2362,80.6
float,NNAPI,8,86,1844,2362,78.2
