Model,Device,Threads,ms/frame Hikey,Lfreq,Bfreq,Temperature
quant,CPU,1,208,509,682,71.8
quant,CPU,2,110,509,682,71.8
quant,CPU,3,80,509,682,73.4
quant,CPU,4,73,509,682,74.7
quant,CPU,5,78,509,682,75.1
quant,CPU,6,78,509,682,75.7
quant,CPU,7,86,509,682,75.9
quant,CPU,8,108,509,682,75.6
quant,NNAPI,1,208,509,682,72.5
quant,NNAPI,2,111,509,682,72.4
quant,NNAPI,3,81,509,682,73.8
quant,NNAPI,4,72,509,682,74.9
quant,NNAPI,5,78,509,682,75.2
quant,NNAPI,6,76,509,682,75.5
quant,NNAPI,7,87,509,682,75.8
quant,NNAPI,8,108,509,682,76.0
float,CPU,1,374,509,682,72.1
float,CPU,2,212,509,682,73.2
float,CPU,3,150,509,682,74.7
float,CPU,4,139,509,682,75.3
float,CPU,5,129,509,682,76.0
float,CPU,6,123,509,682,78.3
float,CPU,7,122,509,682,78.9
float,CPU,8,147,509,682,78.9
float,GPU,1,103,509,682,73.6
float,GPU,2,104,509,682,72.9
float,GPU,3,103,509,682,72.0
float,GPU,4,104,509,682,71.6
float,GPU,5,103,509,682,71.4
float,GPU,6,103,509,682,71.8
float,GPU,7,103,509,682,71.0
float,GPU,8,103,509,682,71.0
float,NNAPI,1,377,509,682,71.5
float,NNAPI,2,194,509,682,72.7
float,NNAPI,3,142,509,682,74.3
float,NNAPI,4,140,509,682,75.3
float,NNAPI,5,130,509,682,76.5
float,NNAPI,6,121,509,682,77.6
float,NNAPI,7,129,509,682,78.1
float,NNAPI,8,148,509,682,78.1
