Time (s),Main Avg Current (mA),Main Avg Voltage (V)
0.0000,889.685,11.764
0.0002,1058.244,11.752
0.0004,1161.155,11.778
0.0006,852.297,11.78
0.0008,828.164,11.786
0.0010,815.034,11.786
0.0012,793.152,11.782
0.0014,799.279,11.782
0.0016,801.404,11.78
0.0018,812.908,11.782
0.0020,817.785,11.786
0.0022,825.663,11.782
0.0024,801.029,11.786
0.0026,768.268,11.78
0.0028,731.255,11.784
0.0030,818.911,11.772
0.0032,983.093,11.768
0.0034,984.593,11.772
0.0036,1006.476,11.79
0.0038,950.707,11.77
0.0040,917.57,11.766
0.0042,1021.481,11.764
0.0044,1043.989,11.778
0.0046,964.962,11.768
0.0048,1049.866,11.768
0.0050,1126.2679,11.756
0.0052,1172.1591,11.754
0.0054,1196.667,11.778
0.0056,885.184,11.784
0.0058,912.693,11.78
0.0060,850.422,11.778
0.0062,1055.868,11.756
0.0064,1155.403,11.758
0.0066,1144.274,11.756
0.0068,1181.412,11.762
0.0070,1096.6331,11.78
0.0072,862.926,11.76
0.0074,1027.734,11.782
0.0076,862.301,11.782
0.0078,884.559,11.752
0.0080,1147.275,11.754
0.0082,1130.77,11.75
0.0084,1219.926,11.756
0.0086,1210.297,11.764
0.0088,1215.549,11.78
0.0090,1112.8879,11.764
0.0092,1218.175,11.754
0.0094,1223.177,11.76
0.0096,1150.401,11.78
0.0098,869.178,11.76
0.0100,1023.357,11.78
0.0102,840.668,11.782
0.0104,844.294,11.77
0.0106,1098.3831,11.758
0.0108,1237.682,11.76
0.0110,1229.554,11.758
0.0112,1243.559,11.754
0.0114,1178.161,11.754
0.0116,1156.278,11.764
0.0118,1213.924,11.756
0.0120,1186.1639,11.758
0.0122,1109.012,11.786
0.0124,922.197,11.762
0.0126,983.343,11.786
0.0128,863.926,11.762
0.0130,1136.521,11.758
0.0132,1137.397,11.756
0.0134,1251.937,11.76
0.0136,1229.304,11.764
0.0138,1196.417,11.762
0.0140,1162.156,11.76
0.0142,1232.9301,11.758
0.0144,1236.056,11.76
0.0146,1081.877,11.786
0.0148,839.418,11.764
0.0150,1030.86,11.786
0.0152,864.677,11.78
0.0154,909.692,11.756
0.0156,1233.6801,11.786
0.0158,1070.999,11.758
0.0160,1162.906,11.766
0.0162,1203.17,11.76
0.0164,1250.811,11.76
0.0166,1222.677,11.76
0.0168,1248.561,11.758
0.0170,1240.683,11.758
0.0172,1103.26,11.782
0.0174,870.178,11.76
0.0176,1017.105,11.79
0.0178,841.543,11.778
0.0180,1095.632,11.76
0.0182,1115.514,11.758
0.0184,1242.559,11.756
0.0186,1216.049,11.756
0.0188,1250.186,11.762
0.0190,1162.406,11.762
0.0192,1221.551,11.768
