Time (s),Main Avg Current (mA),Main Avg Voltage (V)
0.0000,649.977,11.776
0.0002,646.725,11.778
0.0004,666.357,11.776
0.0006,658.104,11.766
0.0008,683.613,11.774
0.0010,623.967,11.782
0.0012,600.709,11.78
0.0014,602.71,11.784
0.0016,600.209,11.784
0.0018,600.209,11.78
0.0020,600.084,11.778
0.0022,600.334,11.776
0.0024,604.711,11.778
0.0026,607.212,11.778
0.0028,610.213,11.782
0.0030,626.218,11.784
0.0032,613.964,11.782
0.0034,609.838,11.782
0.0036,616.59,11.78
0.0038,566.572,11.788
0.0040,537.312,11.786
0.0042,515.054,11.784
0.0044,629.594,11.766
0.0046,782.523,11.76
0.0048,818.035,11.764
0.0050,788.65,11.78
0.0052,727.879,11.782
0.0054,653.978,11.778
0.0056,656.729,11.778
0.0058,656.979,11.776
0.0060,660.855,11.774
0.0062,647.101,11.762
0.0064,818.535,11.766
0.0066,730.63,11.776
0.0068,680.862,11.776
0.0070,679.737,11.774
0.0072,680.487,11.79
0.0074,696.618,11.768
0.0076,747.636,11.768
0.0078,647.351,11.768
0.0080,663.606,11.778
0.0082,644.6,11.782
0.0084,649.977,11.782
0.0086,649.351,11.782
0.0088,648.976,11.776
0.0090,649.351,11.774
0.0092,594.082,11.762
0.0094,788.65,11.77
0.0096,756.014,11.77
0.0098,769.268,11.77
0.0100,748.636,11.786
0.0102,572.825,11.778
0.0104,680.112,11.77
0.0106,652.602,11.766
0.0108,831.665,11.768
0.0110,766.642,11.786
0.0112,666.732,11.778
0.0114,716.875,11.768
0.0116,733.256,11.768
0.0118,704.246,11.758
0.0120,855.298,11.766
0.0122,816.66,11.768
0.0124,825.538,11.766
0.0126,753.013,11.784
0.0128,616.965,11.772
0.0130,714.124,11.768
0.0132,835.166,11.764
0.0134,843.044,11.778
0.0136,640.723,11.772
0.0138,698.619,11.78
0.0140,635.096,11.768
0.0142,797.778,11.764
0.0144,795.152,11.766
0.0146,791.901,11.768
0.0148,770.018,11.78
0.0150,638.347,11.784
0.0152,660.73,11.78
0.0154,675.611,11.764
0.0156,785.899,11.774
0.0158,800.529,11.764
0.0160,803.155,11.766
0.0162,809.907,11.768
0.0164,819.411,11.774
0.0166,762.266,11.776
0.0168,739.383,11.776
0.0170,697.118,11.774
0.0172,695.242,11.766
0.0174,791.276,11.766
0.0176,792.151,11.766
0.0178,789.9,11.772
0.0180,747.386,11.778
0.0182,778.646,11.764
0.0184,717.125,11.79
0.0186,551.817,11.774
0.0188,698.619,11.776
0.0190,680.487,11.768
0.0192,802.155,11.772
0.0194,803.405,11.768
0.0196,791.526,11.77
0.0198,771.769,11.776
0.0200,622.592,11.774
0.0202,669.358,11.774
0.0204,672.609,11.77
0.0206,796.528,11.774
0.0208,798.153,11.774
0.0210,798.028,11.772
0.0212,784.524,11.774
0.0214,651.852,11.788
0.0216,604.461,11.768
0.0218,708.247,11.772
0.0220,763.516,11.774
0.0222,744.134,11.788
0.0224,623.717,11.788
0.0226,679.112,11.768
0.0228,751.262,11.772
0.0230,776.396,11.774
0.0232,769.768,11.774
0.0234,761.015,11.776
0.0236,738.382,11.788
0.0238,551.817,11.774
0.0240,676.861,11.788
0.0242,596.208,11.776
0.0244,575.2,11.786
0.0246,558.195,11.79
0.0248,583.078,11.782
0.0250,621.592,11.792
0.0252,572.449,11.79
0.0254,532.31,11.786
0.0256,557.569,11.776
0.0258,653.853,11.782
0.0260,667.983,11.776
0.0262,690.741,11.78
0.0264,710.748,11.776
0.0266,695.993,11.782
0.0268,591.581,11.778
0.0270,608.462,11.782
0.0272,633.596,11.786
0.0274,657.354,11.782
0.0276,680.862,11.78
0.0278,704.621,11.78
0.0280,728.379,11.774
0.0282,725.003,11.778
0.0284,692.491,11.774
0.0286,698.744,11.77
0.0288,700.994,11.782
0.0290,666.482,11.78
0.0292,674.235,11.782
0.0294,714.999,11.78
0.0296,732.755,11.778
0.0298,613.839,11.778
0.0300,616.715,11.784
0.0302,605.461,11.782
0.0304,601.46,11.776
0.0306,752.012,11.77
0.0308,850.797,11.766
0.0310,874.805,11.762
0.0312,811.408,11.774
0.0314,710.498,11.778
0.0316,672.234,11.78
0.0318,675.235,11.78
0.0320,678.486,11.782
0.0322,721.126,11.764
0.0324,843.669,11.766
0.0326,826.538,11.772
0.0328,754.013,11.774
0.0330,698.994,11.778
0.0332,699.619,11.778
0.0334,756.639,11.764
0.0336,801.029,11.77
0.0338,778.772,11.77
0.0340,750.137,11.778
0.0342,676.361,11.78
0.0344,673.985,11.778
0.0346,668.358,11.778
0.0348,673.11,11.776
0.0350,678.236,11.774
0.0352,705.496,11.768
0.0354,830.915,11.766
0.0356,825.038,11.772
0.0358,780.522,11.776
0.0360,790.776,11.764
0.0362,854.798,11.778
0.0364,709.622,11.776
0.0366,681.738,11.774
0.0368,746.51,11.772
0.0370,751.012,11.772
0.0372,760.14,11.774
0.0374,667.358,11.778
0.0376,664.106,11.782
0.0378,660.855,11.778
0.0380,639.473,11.774
0.0382,762.516,11.77
0.0384,760.64,11.77
0.0386,747.135,11.778
0.0388,695.492,11.786
0.0390,566.322,11.774
0.0392,628.594,11.764
0.0394,750.262,11.77
0.0396,756.889,11.782
0.0398,616.965,11.78
0.0400,669.233,11.792
0.0402,646.35,11.77
0.0404,772.019,11.77
0.0406,776.896,11.768
0.0408,750.262,11.772
0.0410,725.628,11.788
0.0412,555.318,11.794
0.0414,551.567,11.784
0.0416,655.604,11.794
0.0418,656.479,11.774
0.0420,749.511,11.772
0.0422,749.261,11.77
0.0424,733.506,11.778
0.0426,694.992,11.788
0.0428,525.808,11.78
0.0430,649.101,11.782
0.0432,607.837,11.772
0.0434,751.637,11.77
0.0436,758.139,11.772
0.0438,757.139,11.776
0.0440,743.134,11.784
0.0442,586.579,11.794
0.0444,612.839,11.776
0.0446,659.105,11.774
0.0448,727.879,11.768
0.0450,788.525,11.768
0.0452,775.395,11.77
0.0454,748.136,11.778
0.0456,689.24,11.792
0.0458,529.935,11.782
0.0460,668.608,11.778
0.0462,638.973,11.77
0.0464,764.767,11.768
0.0466,768.268,11.768
0.0468,778.271,11.774
0.0470,721.627,11.786
0.0472,606.962,11.79
0.0474,521.182,11.776
0.0476,614.089,11.766
0.0478,784.023,11.766
0.0480,795.277,11.77
0.0482,756.889,11.788
0.0484,645.475,11.792
0.0486,677.611,11.768
0.0488,748.886,11.768
0.0490,733.006,11.768
0.0492,734.006,11.772
0.0494,750.887,11.774
0.0496,771.394,11.778
0.0498,732.005,11.778
0.0500,728.879,11.774
0.0502,736.632,11.776
0.0504,695.617,11.772
0.0506,713.749,11.778
0.0508,582.078,11.79
0.0510,504.551,11.792
0.0512,504.551,11.794
0.0514,506.927,11.79
0.0516,510.553,11.79
0.0518,519.681,11.788
0.0520,544.315,11.782
0.0522,553.068,11.79
0.0524,529.059,11.79
0.0526,543.689,11.784
0.0528,604.461,11.78
0.0530,658.73,11.778
0.0532,649.476,11.776
0.0534,647.601,11.78
0.0536,661.981,11.782
0.0538,670.234,11.79
0.0540,569.448,11.786
0.0542,572.449,11.782
0.0544,567.198,11.778
0.0546,579.452,11.78
0.0548,553.818,11.782
0.0550,555.444,11.786
0.0552,555.193,11.792
0.0554,556.194,11.792
0.0556,556.569,11.788
0.0558,553.318,11.786
0.0560,554.693,11.784
0.0562,552.317,11.782
0.0564,553.193,11.784
0.0566,555.318,11.784
0.0568,574.95,11.786
0.0570,554.193,11.78
0.0572,553.818,11.786
0.0574,527.309,11.78
0.0576,531.685,11.786
0.0578,644.35,11.766
0.0580,818.035,11.774
0.0582,812.283,11.766
0.0584,743.009,11.774
0.0586,683.113,11.774
0.0588,655.353,11.774
0.0590,657.729,11.778
0.0592,663.356,11.776
