Time (s),Main Avg Current (mA),Main Avg Voltage (V)
0.0000,614.214,11.778
0.0002,618.341,11.776
0.0004,615.715,11.778
0.0006,572.7,11.778
0.0008,588.705,11.78
0.0010,584.704,11.782
0.0012,578.827,11.778
0.0014,620.591,11.776
0.0016,611.963,11.776
0.0018,617.09,11.776
0.0020,623.592,11.77
0.0022,621.216,11.764
0.0024,648.851,11.776
0.0026,631.97,11.778
0.0028,620.966,11.778
0.0030,638.347,11.772
0.0032,687.115,11.772
0.0034,612.213,11.776
0.0036,616.965,11.776
0.0038,587.58,11.776
0.0040,606.336,11.774
0.0042,696.993,11.77
0.0044,755.513,11.766
0.0046,787.024,11.762
0.0048,761.641,11.762
0.0050,639.973,11.776
0.0052,601.335,11.776
0.0054,639.598,11.778
0.0056,623.467,11.778
0.0058,614.839,11.778
0.0060,602.96,11.78
0.0062,603.585,11.774
0.0064,602.96,11.778
0.0066,603.21,11.778
0.0068,603.71,11.776
0.0070,626.093,11.778
0.0072,608.587,11.776
0.0074,612.714,11.772
0.0076,618.215,11.774
0.0078,610.713,11.776
0.0080,614.089,11.778
0.0082,625.718,11.78
0.0084,611.713,11.776
0.0086,610.088,11.776
0.0088,617.215,11.774
0.0090,613.464,11.774
0.0092,611.838,11.776
0.0094,611.088,11.78
0.0096,609.087,11.776
0.0098,612.213,11.776
0.0100,613.214,11.772
0.0102,603.21,11.772
0.0104,610.588,11.772
0.0106,612.588,11.776
0.0108,612.213,11.782
0.0110,611.088,11.782
0.0112,611.838,11.776
0.0114,612.088,11.778
0.0116,611.963,11.778
0.0118,612.463,11.778
0.0120,580.952,11.78
0.0122,597.958,11.778
0.0124,602.335,11.78
0.0126,592.707,11.778
0.0128,607.462,11.77
0.0130,617.34,11.772
0.0132,605.461,11.774
0.0134,608.212,11.776
0.0136,603.335,11.782
0.0138,602.335,11.78
0.0140,605.086,11.776
0.0142,606.836,11.776
0.0144,597.083,11.774
0.0146,603.96,11.778
0.0148,595.207,11.78
0.0150,597.333,11.776
0.0152,599.834,11.778
0.0154,593.457,11.774
0.0156,601.46,11.772
0.0158,600.959,11.776
0.0160,596.833,11.78
0.0162,601.585,11.78
0.0164,602.585,11.78
0.0166,597.833,11.778
0.0168,602.71,11.776
0.0170,601.46,11.774
0.0172,599.584,11.774
0.0174,602.96,11.778
0.0176,603.085,11.772
0.0178,659.98,11.774
0.0180,631.595,11.772
0.0182,667.483,11.766
0.0184,646.725,11.776
0.0186,629.219,11.782
0.0188,622.592,11.776
0.0190,631.22,11.78
0.0192,621.342,11.778
0.0194,637.472,11.772
0.0196,644.85,11.774
0.0198,618.591,11.774
0.0200,632.345,11.774
0.0202,634.346,11.78
0.0204,608.837,11.774
0.0206,620.591,11.772
0.0208,616.59,11.776
0.0210,576.576,11.774
0.0212,574.45,11.78
0.0214,572.95,11.782
0.0216,574.075,11.784
0.0218,570.074,11.776
0.0220,576.701,11.772
0.0222,576.576,11.776
0.0224,633.721,11.78
0.0226,569.824,11.776
0.0228,600.334,11.78
0.0230,623.217,11.782
0.0232,614.839,11.774
0.0234,670.609,11.778
0.0236,653.353,11.762
0.0238,750.387,11.768
0.0240,701.244,11.776
0.0242,672.734,11.774
0.0244,690.491,11.778
0.0246,692.366,11.776
0.0248,694.117,11.77
0.0250,698.368,11.772
0.0252,689.115,11.768
0.0254,689.365,11.772
0.0256,695.242,11.772
0.0258,707.497,11.776
0.0260,687.865,11.774
0.0262,675.11,11.77
0.0264,693.117,11.768
0.0266,664.357,11.774
0.0268,656.104,11.774
0.0270,646.475,11.774
0.0272,649.977,11.78
0.0274,656.479,11.778
0.0276,662.981,11.774
0.0278,672.985,11.772
0.0280,661.356,11.772
0.0282,666.607,11.774
0.0284,675.485,11.78
0.0286,677.361,11.774
0.0288,670.484,11.782
0.0290,632.846,11.772
0.0292,642.974,11.77
0.0294,696.118,11.772
0.0296,692.742,11.778
0.0298,678.862,11.774
0.0300,709.122,11.772
0.0302,698.744,11.772
0.0304,704.871,11.766
0.0306,688.99,11.768
0.0308,650.977,11.77
0.0310,632.345,11.78
0.0312,615.339,11.786
0.0314,576.576,11.778
0.0316,610.463,11.782
0.0318,610.713,11.778
0.0320,611.463,11.778
0.0322,611.213,11.776
0.0324,612.588,11.78
0.0326,611.338,11.78
0.0328,609.838,11.776
0.0330,612.338,11.77
0.0332,612.463,11.774
0.0334,581.578,11.78
0.0336,576.826,11.778
0.0338,603.21,11.782
0.0340,601.71,11.782
0.0342,607.337,11.782
0.0344,625.343,11.78
0.0346,595.332,11.772
0.0348,600.584,11.778
0.0350,601.21,11.776
0.0352,601.335,11.776
0.0354,581.328,11.784
0.0356,550.942,11.778
0.0358,602.335,11.778
0.0360,607.087,11.778
0.0362,618.966,11.774
0.0364,670.609,11.776
0.0366,700.369,11.78
0.0368,643.349,11.774
0.0370,660.105,11.77
0.0372,726.128,11.774
0.0374,707.122,11.776
0.0376,640.223,11.778
0.0378,614.464,11.772
0.0380,623.967,11.77
0.0382,643.849,11.776
0.0384,618.591,11.776
0.0386,554.693,11.778
0.0388,571.824,11.778
0.0390,588.33,11.776
0.0392,639.348,11.78
0.0394,639.348,11.778
0.0396,641.724,11.776
0.0398,643.474,11.776
0.0400,642.724,11.772
0.0402,645.725,11.772
0.0404,645.85,11.776
0.0406,652.227,11.772
0.0408,661.731,11.782
0.0410,591.706,11.782
0.0412,593.707,11.776
0.0414,647.976,11.778
0.0416,636.097,11.778
0.0418,638.347,11.776
0.0420,656.604,11.778
0.0422,633.221,11.776
0.0424,637.097,11.776
0.0426,644.35,11.772
0.0428,638.473,11.774
0.0430,639.473,11.774
0.0432,617.59,11.776
0.0434,620.216,11.778
0.0436,623.217,11.782
0.0438,620.841,11.78
0.0440,618.466,11.782
0.0442,581.203,11.778
0.0444,596.458,11.776
0.0446,653.103,11.776
0.0448,655.228,11.776
0.0450,652.227,11.776
0.0452,636.847,11.776
0.0454,617.09,11.778
0.0456,601.96,11.77
0.0458,636.972,11.776
0.0460,638.848,11.776
0.0462,628.844,11.782
0.0464,635.972,11.778
0.0466,612.088,11.778
0.0468,609.462,11.776
0.0470,636.847,11.772
0.0472,638.973,11.772
0.0474,638.598,11.776
0.0476,633.721,11.778
0.0478,634.721,11.776
0.0480,637.722,11.776
0.0482,640.348,11.774
0.0484,639.848,11.778
0.0486,601.46,11.778
0.0488,609.337,11.774
0.0490,641.349,11.778
0.0492,640.473,11.778
0.0494,638.598,11.774
0.0496,638.848,11.776
0.0498,605.086,11.772
0.0500,616.465,11.774
0.0502,651.477,11.776
0.0504,646.725,11.774
0.0506,655.604,11.778
0.0508,661.23,11.78
0.0510,650.352,11.772
0.0512,653.603,11.774
0.0514,655.854,11.772
0.0516,651.352,11.774
0.0518,646.976,11.776
0.0520,667.858,11.778
0.0522,645.975,11.78
0.0524,648.601,11.774
0.0526,654.728,11.782
0.0528,639.973,11.778
0.0530,639.223,11.778
0.0532,658.855,11.776
0.0534,642.849,11.778
0.0536,625.093,11.776
0.0538,625.968,11.772
0.0540,642.474,11.776
0.0542,649.101,11.778
0.0544,647.226,11.778
0.0546,646.225,11.778
0.0548,645.725,11.776
0.0550,616.84,11.774
0.0552,642.474,11.774
0.0554,644.975,11.772
0.0556,644.85,11.776
0.0558,644.099,11.776
0.0560,637.847,11.78
0.0562,622.967,11.776
0.0564,638.973,11.776
0.0566,645.85,11.772
0.0568,636.722,11.774
0.0570,642.099,11.776
0.0572,656.729,11.778
0.0574,655.228,11.774
0.0576,655.479,11.774
0.0578,654.478,11.774
0.0580,628.844,11.776
0.0582,656.979,11.774
0.0584,645.975,11.778
0.0586,647.351,11.778
0.0588,643.974,11.778
0.0590,644.85,11.78
0.0592,621.592,11.776
0.0594,645.6,11.774
0.0596,645.1,11.774
0.0598,645.35,11.776
0.0600,643.974,11.776
0.0602,644.725,11.776
0.0604,644.85,11.774
0.0606,647.976,11.77
0.0608,647.601,11.776
0.0610,644.099,11.778
0.0612,644.975,11.778
0.0614,644.475,11.78
0.0616,645.35,11.778
0.0618,645.6,11.774
0.0620,633.721,11.772
0.0622,636.222,11.77
0.0624,640.473,11.774
0.0626,637.472,11.778
0.0628,625.968,11.782
0.0630,623.842,11.778
0.0632,658.605,11.778
0.0634,643.224,11.776
0.0636,640.848,11.774
0.0638,648.226,11.772
0.0640,642.849,11.78
0.0642,610.713,11.776
0.0644,652.352,11.772
0.0646,649.726,11.774
0.0648,640.223,11.772
0.0650,647.226,11.776
0.0652,639.473,11.78
0.0654,626.843,11.782
0.0656,641.724,11.776
0.0658,642.974,11.778
0.0660,643.849,11.776
0.0662,658.104,11.768
0.0664,689.865,11.778
0.0666,639.973,11.774
0.0668,640.348,11.782
0.0670,640.098,11.78
0.0672,616.59,11.784
0.0674,632.22,11.778
0.0676,641.349,11.776
0.0678,643.724,11.774
0.0680,642.474,11.778
0.0682,642.099,11.78
0.0684,616.465,11.776
0.0686,642.849,11.774
0.0688,643.849,11.772
0.0690,643.599,11.774
0.0692,642.599,11.78
0.0694,642.724,11.778
0.0696,644.35,11.778
0.0698,643.474,11.778
0.0700,644.35,11.774
0.0702,666.232,11.77
0.0704,696.243,11.776
0.0706,639.098,11.772
0.0708,655.854,11.784
0.0710,608.837,11.782
0.0712,601.084,11.784
0.0714,605.211,11.78
0.0716,606.211,11.776
0.0718,606.711,11.778
0.0720,585.579,11.78
0.0722,576.076,11.782
0.0724,599.459,11.78
0.0726,608.337,11.774
0.0728,606.336,11.78
0.0730,607.962,11.776
0.0732,610.963,11.782
0.0734,584.579,11.78
0.0736,611.213,11.782
0.0738,602.335,11.778
0.0740,598.834,11.78
0.0742,603.21,11.778
0.0744,622.217,11.776
0.0746,601.335,11.778
0.0748,608.462,11.78
0.0750,615.965,11.78
0.0752,613.464,11.782
0.0754,607.962,11.78
0.0756,618.466,11.774
0.0758,621.592,11.774
0.0760,607.587,11.776
0.0762,611.713,11.78
0.0764,590.331,11.778
0.0766,609.587,11.776
0.0768,608.712,11.774
0.0770,609.713,11.776
0.0772,609.963,11.778
0.0774,601.46,11.782
0.0776,589.705,11.782
0.0778,609.462,11.782
0.0780,594.957,11.776
0.0782,599.834,11.772
0.0784,609.462,11.774
0.0786,607.962,11.776
0.0788,611.838,11.776
0.0790,612.338,11.782
0.0792,610.338,11.782
0.0794,609.713,11.778
0.0796,606.211,11.778
0.0798,610.088,11.772
0.0800,610.213,11.78
0.0802,609.212,11.778
0.0804,599.209,11.778
0.0806,605.336,11.78
0.0808,601.21,11.776
0.0810,604.211,11.772
0.0812,578.577,11.78
0.0814,571.949,11.782
0.0816,596.833,11.78
0.0818,610.088,11.782
0.0820,609.212,11.78
0.0822,601.71,11.78
0.0824,609.337,11.776
0.0826,582.953,11.77
0.0828,604.211,11.78
0.0830,609.337,11.78
0.0832,609.337,11.776
0.0834,607.962,11.776
0.0836,605.711,11.776
0.0838,591.206,11.772
0.0840,609.087,11.778
0.0842,609.462,11.776
0.0844,609.462,11.78
0.0846,606.086,11.776
0.0848,609.212,11.774
0.0850,607.837,11.774
0.0852,609.212,11.774
0.0854,610.088,11.78
0.0856,581.953,11.778
0.0858,601.71,11.78
0.0860,611.338,11.78
0.0862,602.46,11.776
0.0864,608.837,11.774
0.0866,610.213,11.778
0.0868,576.326,11.776
0.0870,605.586,11.778
0.0872,609.963,11.78
0.0874,608.462,11.776
0.0876,609.587,11.774
0.0878,608.962,11.774
0.0880,614.339,11.772
0.0882,632.596,11.78
0.0884,611.088,11.782
0.0886,609.713,11.78
0.0888,617.84,11.78
0.0890,610.963,11.778
0.0892,610.201,11.776
0.0894,598.447,11.78
0.0896,592.07,11.784
0.0898,593.695,11.782
0.0900,603.574,11.782
0.0902,596.321,11.778
0.0904,602.448,11.778
0.0906,603.073,11.776
0.0908,588.819,11.78
0.0910,589.319,11.782
0.0912,588.444,11.778
0.0914,605.449,11.778
0.0916,596.196,11.774
0.0918,597.947,11.78
0.0920,570.063,11.78
0.0922,591.07,11.782
0.0924,580.441,11.78
0.0926,585.318,11.78
0.0928,582.567,11.776
0.0930,576.065,11.77
0.0932,587.318,11.774
0.0934,574.189,11.778
0.0936,588.944,11.784
0.0938,566.937,11.78
0.0940,575.064,11.78
0.0942,578.565,11.78
0.0944,580.691,11.776
0.0946,580.441,11.77
0.0948,593.445,11.776
0.0950,571.438,11.782
0.0952,589.819,11.778
0.0954,570.313,11.78
0.0956,593.695,11.78
0.0958,579.316,11.78
0.0960,584.817,11.774
0.0962,571.438,11.78
0.0964,564.061,11.782
0.0966,577.065,11.78
0.0968,617.703,11.778
0.0970,596.821,11.776
0.0972,569.062,11.77
0.0974,601.573,11.776
0.0976,599.947,11.782
0.0978,588.944,11.782
0.0980,563.936,11.786
0.0982,587.693,11.78
0.0984,607.825,11.772
0.0986,619.454,11.774
0.0988,603.699,11.772
0.0990,633.083,11.774
0.0992,631.458,11.778
0.0994,580.566,11.78
0.0996,582.567,11.776
0.0998,598.947,11.774
0.1000,594.446,11.778
0.1002,565.061,11.778
0.1004,609.075,11.776
0.1006,610.576,11.78
0.1008,581.191,11.782
0.1010,578.94,11.776
0.1012,604.699,11.772
0.1014,598.072,11.778
0.1016,567.812,11.776
0.1018,583.692,11.78
0.1020,573.939,11.784
0.1022,596.446,11.784
0.1024,567.312,11.784
0.1026,585.818,11.776
0.1028,616.578,11.768
0.1030,635.334,11.774
0.1032,621.58,11.772
0.1034,643.462,11.78
0.1036,600.323,11.78
0.1038,579.566,11.782
0.1040,578.94,11.776
0.1042,600.573,11.778
0.1044,599.572,11.78
0.1046,567.937,11.78
0.1048,587.443,11.778
0.1050,602.698,11.776
0.1052,608.075,11.778
0.1054,584.692,11.77
0.1056,609.951,11.774
0.1058,600.197,11.778
0.1060,617.703,11.78
0.1062,615.953,11.782
0.1064,599.322,11.78
0.1066,597.572,11.772
0.1068,567.812,11.776
0.1070,580.066,11.774
0.1072,598.197,11.776
0.1074,586.068,11.78
0.1076,551.181,11.778
0.1078,586.568,11.776
0.1080,598.697,11.778
0.1082,561.185,11.778
0.1084,552.057,11.774
0.1086,565.561,11.78
0.1088,558.559,11.78
0.1090,554.808,11.778
0.1092,575.689,11.78
0.1094,556.183,11.778
0.1096,551.556,11.778
0.1098,560.309,11.782
0.1100,495.413,11.784
0.1102,493.037,11.788
0.1104,475.531,11.79
0.1106,484.284,11.788
0.1108,496.663,11.784
0.1110,520.421,11.776
0.1112,555.308,11.778
0.1114,513.794,11.786
0.1116,476.782,11.784
0.1118,492.412,11.784
0.1120,511.168,11.782
0.1122,592.445,11.774
0.1124,621.204,11.772
0.1126,634.959,11.778
0.1128,633.458,11.77
0.1130,677.973,11.776
0.1132,636.459,11.77
0.1134,707.358,11.768
0.1136,632.958,11.778
0.1138,604.824,11.77
0.1140,651.214,11.772
0.1142,624.08,11.776
0.1144,591.82,11.78
0.1146,592.195,11.778
0.1148,592.195,11.782
0.1150,591.695,11.778
0.1152,592.195,11.778
0.1154,591.945,11.776
0.1156,592.195,11.776
0.1158,592.695,11.778
0.1160,592.07,11.782
0.1162,516.795,11.776
0.1164,563.811,11.776
0.1166,566.937,11.778
0.1168,572.313,11.78
0.1170,579.941,11.78
0.1172,571.063,11.778
0.1174,594.696,11.782
0.1176,586.818,11.78
0.1178,614.577,11.77
0.1180,603.574,11.77
0.1182,617.328,11.774
0.1184,620.829,11.774
0.1186,618.454,11.772
0.1188,629.332,11.772
0.1190,647.713,11.776
0.1192,648.714,11.774
0.1194,663.843,11.776
0.1196,628.582,11.774
0.1198,645.588,11.77
0.1200,631.708,11.772
0.1202,664.469,11.77
0.1204,664.094,11.77
0.1206,643.337,11.768
0.1208,637.585,11.77
0.1210,655.591,11.772
0.1212,641.836,11.772
0.1214,635.959,11.778
0.1216,643.212,11.776
0.1218,602.198,11.778
0.1220,613.827,11.766
0.1222,637.585,11.766
0.1224,654.716,11.764
0.1226,694.854,11.768
0.1228,672.221,11.772
0.1230,654.716,11.772
0.1232,647.588,11.776
0.1234,643.087,11.778
0.1236,604.449,11.774
0.1238,603.073,11.778
0.1240,575.189,11.778
0.1242,639.711,11.776
0.1244,608.075,11.776
0.1246,587.568,11.778
0.1248,580.191,11.776
0.1250,583.817,11.778
0.1252,577.565,11.778
0.1254,594.696,11.782
0.1256,592.32,11.786
0.1258,584.942,11.778
0.1260,594.696,11.778
0.1262,592.195,11.776
0.1264,589.819,11.776
0.1266,592.82,11.78
0.1268,593.07,11.782
0.1270,590.819,11.776
0.1272,596.696,11.776
0.1274,589.694,11.774
0.1276,570.563,11.772
0.1278,575.439,11.78
0.1280,587.693,11.778
0.1282,596.696,11.78
0.1284,591.82,11.778
0.1286,595.571,11.774
