Time (s),Main Avg Current (mA),Main Avg Voltage (V)
0.0366,1129.394,11.762
0.0368,983.468,11.77
0.0370,896.062,11.772
0.0372,896.438,11.774
0.0374,895.562,11.778
0.0376,896.813,11.776
0.0378,896.438,11.776
0.0380,897.563,11.776
0.0382,898.438,11.776
0.0384,897.688,11.774
0.0386,897.938,11.776
0.0388,940.828,11.776
0.0390,904.19,11.776
0.0392,895.812,11.772
0.0394,850.297,11.78
0.0396,799.529,11.78
0.0398,808.657,11.778
0.0400,817.785,11.784
0.0402,823.662,11.782
0.0404,838.417,11.782
0.0406,842.044,11.776
0.0408,828.914,11.778
0.0410,968.463,11.768
0.0412,982.218,11.768
0.0414,935.076,11.78
0.0416,833.416,11.778
0.0418,829.039,11.778
0.0420,827.414,11.78
0.0422,826.538,11.778
0.0424,831.29,11.782
0.0426,852.672,11.78
0.0428,868.678,11.776
0.0430,835.541,11.78
0.0432,833.041,11.778
0.0434,826.538,11.786
0.0436,881.933,11.78
0.0438,820.786,11.778
0.0440,807.156,11.782
0.0442,806.906,11.786
0.0444,807.907,11.78
0.0446,808.282,11.782
0.0448,807.657,11.782
0.0450,806.531,11.776
0.0452,808.782,11.78
0.0454,827.914,11.78
0.0456,813.284,11.78
0.0458,850.297,11.766
0.0460,995.472,11.766
0.0462,955.708,11.766
0.0464,1005.726,11.766
0.0466,1052.4919,11.766
0.0468,989.345,11.782
0.0470,825.663,11.784
0.0472,818.66,11.786
0.0474,831.54,11.776
0.0476,839.918,11.776
0.0478,830.164,11.778
0.0480,827.914,11.778
0.0482,826.913,11.778
0.0484,827.789,11.782
0.0486,827.539,11.78
0.0488,850.672,11.76
0.0490,919.321,11.776
0.0492,844.795,11.776
0.0494,839.668,11.78
0.0496,827.038,11.782
0.0498,825.788,11.78
0.0500,825.163,11.776
0.0502,824.538,11.778
0.0504,826.413,11.782
0.0506,825.413,11.784
0.0508,825.413,11.778
0.0510,807.532,11.768
0.0512,994.472,11.766
0.0514,1040.488,11.762
0.0516,1043.364,11.764
0.0518,867.911,11.782
0.0520,810.017,11.778
0.0522,809.016,11.78
0.0524,810.392,11.78
0.0526,809.266,11.782
0.0528,809.392,11.774
0.0530,810.642,11.78
0.0532,809.642,11.78
0.0534,809.767,11.782
0.0536,808.516,11.78
0.0538,800.264,11.762
0.0540,900.672,11.78
0.0542,813.768,11.776
0.0544,808.641,11.778
0.0546,807.641,11.782
0.0548,810.017,11.784
0.0550,806.891,11.782
0.0552,806.14,11.784
0.0554,807.141,11.78
0.0556,807.016,11.78
0.0558,806.265,11.782
0.0560,857.908,11.764
0.0562,1044.219,11.772
0.0564,1023.712,11.766
0.0566,998.579,11.778
0.0568,835.525,11.78
