Time (s),Main Avg Current (mA),Main Avg Voltage (V)
0.0000,1027.1281,11.768
0.0002,1032.255,11.772
0.0004,896.955,11.782
0.0006,908.334,11.782
0.0008,864.943,11.778
0.0010,824.178,11.782
0.0012,808.298,11.774
0.0014,819.052,11.782
0.0016,823.178,11.784
0.0018,849.063,11.784
0.0020,842.31,11.792
0.0022,789.166,11.786
0.0024,803.796,11.784
0.0026,811.924,11.784
0.0028,787.415,11.79
0.0030,710.011,11.788
0.0032,705.635,11.786
0.0034,684.752,11.798
0.0036,628.981,11.796
0.0038,627.856,11.788
0.0040,628.231,11.792
0.0042,627.231,11.794
0.0044,628.731,11.794
0.0046,630.107,11.798
0.0048,646.613,11.798
0.0050,629.857,11.798
0.0052,626.606,11.796
0.0054,636.109,11.794
0.0056,594.469,11.79
0.0058,626.606,11.794
0.0060,638.36,11.79
0.0062,718.514,11.77
0.0064,959.728,11.766
0.0066,968.857,11.766
0.0068,948.974,11.766
0.0070,1021.626,11.778
0.0072,830.931,11.788
0.0074,922.715,11.778
0.0076,958.103,11.77
0.0078,956.352,11.772
0.0080,961.854,11.768
0.0082,961.229,11.766
0.0084,930.468,11.78
0.0086,1004.495,11.76
0.0088,948.349,11.784
0.0090,810.298,11.784
0.0092,921.964,11.768
0.0094,970.357,11.77
0.0096,983.487,11.768
0.0098,985.738,11.782
0.0100,940.846,11.768
0.0102,896.705,11.782
0.0104,830.306,11.772
0.0106,977.61,11.774
0.0108,947.099,11.764
0.0110,1004.495,11.776
0.0112,897.455,11.78
0.0114,909.46,11.776
0.0116,925.591,11.778
0.0118,892.078,11.784
0.0120,801.17,11.782
0.0122,819.177,11.782
0.0124,839.184,11.76
0.0126,932.843,11.78
0.0128,903.583,11.766
0.0130,1041.759,11.768
0.0132,1041.1331,11.772
0.0134,1008.371,11.77
0.0136,967.356,11.774
0.0138,906.334,11.762
0.0140,1042.259,11.768
0.0142,1026.1281,11.768
0.0144,1025.7531,11.77
0.0146,1027.7531,11.768
0.0148,1009.872,11.78
0.0150,915.962,11.774
0.0152,955.727,11.766
0.0154,1035.506,11.768
0.0156,1026.0031,11.78
0.0158,887.202,11.77
0.0160,941.222,11.784
0.0162,960.354,11.766
0.0164,1062.641,11.762
0.0166,1053.6379,11.766
0.0168,1054.8879,11.766
0.0170,1044.885,11.784
0.0172,870.07,11.782
0.0174,862.192,11.77
0.0176,905.708,11.778
0.0178,978.735,11.766
0.0180,1049.511,11.762
0.0182,1102.156,11.756
0.0184,1117.036,11.764
0.0186,1096.5291,11.776
0.0188,911.085,11.782
0.0190,918.713,11.772
0.0192,957.853,11.778
0.0194,954.351,11.762
0.0196,1084.149,11.762
0.0198,1082.649,11.762
0.0200,1089.276,11.764
0.0202,935.594,11.782
0.0204,888.327,11.762
0.0206,986.613,11.78
0.0208,900.331,11.772
0.0210,1007.996,11.768
0.0212,1021.501,11.774
0.0214,1022.001,11.772
0.0216,1018.25,11.776
0.0218,910.71,11.786
0.0220,831.806,11.782
0.0222,933.594,11.778
0.0224,844.686,11.768
0.0226,1039.6331,11.768
0.0228,1042.259,11.774
0.0230,1023.627,11.774
0.0232,1039.0081,11.772
0.0234,959.979,11.786
0.0236,832.932,11.782
0.0238,878.073,11.76
0.0240,1043.134,11.766
0.0242,1047.386,11.766
0.0244,998.993,11.776
0.0246,895.955,11.788
0.0248,960.229,11.768
0.0250,1023.502,11.768
0.0252,1001.369,11.774
0.0254,982.737,11.772
0.0256,990.365,11.774
0.0258,982.737,11.788
0.0260,858.941,11.786
0.0262,850.313,11.782
0.0264,847.562,11.78
0.0266,815.175,11.782
0.0268,798.669,11.788
0.0270,814.55,11.788
0.0272,824.178,11.782
0.0274,840.559,11.786
0.0276,855.065,11.788
0.0278,784.789,11.782
0.0280,789.541,11.782
0.0282,818.176,11.776
0.0284,802.42,11.792
0.0286,680.625,11.8
0.0288,650.239,11.794
0.0290,655.116,11.8
0.0292,649.614,11.794
0.0294,648.113,11.788
0.0296,669.496,11.796
0.0298,622.354,11.798
0.0300,621.729,11.798
0.0302,621.354,11.798
0.0304,620.728,11.794
0.0306,621.604,11.794
0.0308,621.604,11.796
0.0310,636.609,11.796
