Time (s),Main Avg Current (mA),Main Avg Voltage (V)
0.0000,597.572,11.78
0.0002,590.819,11.776
0.0004,589.944,11.776
0.0006,591.32,11.778
0.0008,585.443,11.772
0.0010,582.817,11.77
0.0012,589.944,11.774
0.0014,606.95,11.776
0.0016,596.946,11.778
0.0018,585.818,11.78
0.0020,586.068,11.778
0.0022,587.693,11.774
0.0024,599.947,11.776
0.0026,604.699,11.772
0.0028,592.195,11.774
0.0030,584.442,11.778
0.0032,584.442,11.772
0.0034,582.817,11.776
0.0036,587.818,11.774
0.0038,601.573,11.774
0.0040,597.447,11.776
0.0042,585.943,11.778
0.0044,589.944,11.778
0.0046,591.57,11.778
0.0048,585.818,11.776
0.0050,583.567,11.778
0.0052,585.068,11.776
0.0054,582.942,11.772
0.0056,582.692,11.778
0.0058,572.688,11.78
0.0060,560.684,11.778
0.0062,576.315,11.776
0.0064,591.82,11.776
0.0066,588.319,11.778
0.0068,587.693,11.778
0.0070,580.816,11.778
0.0072,577.565,11.778
0.0074,602.573,11.778
0.0076,618.328,11.776
0.0078,593.445,11.776
0.0080,572.939,11.774
0.0082,577.94,11.776
0.0084,574.689,11.774
0.0086,588.944,11.776
0.0088,584.567,11.778
0.0090,580.566,11.778
0.0092,568.187,11.772
0.0094,573.564,11.778
0.0096,575.439,11.778
0.0098,571.438,11.778
0.0100,570.563,11.778
0.0102,568.687,11.778
0.0104,569.812,11.776
0.0106,569.062,11.772
0.0108,569.187,11.776
0.0110,576.315,11.774
0.0112,588.069,11.78
0.0114,571.063,11.78
0.0116,572.063,11.776
0.0118,576.065,11.776
0.0120,571.063,11.774
0.0122,569.938,11.776
0.0124,567.562,11.778
0.0126,563.56,11.778
0.0128,559.684,11.778
0.0130,553.807,11.772
0.0132,561.81,11.774
0.0134,576.065,11.776
0.0136,572.438,11.778
0.0138,571.063,11.78
0.0140,574.439,11.778
0.0142,586.443,11.778
0.0144,585.568,11.772
0.0146,582.192,11.772
0.0148,570.063,11.774
0.0150,569.562,11.778
0.0152,571.563,11.778
0.0154,574.689,11.782
0.0156,576.19,11.78
0.0158,573.689,11.776
0.0160,581.441,11.772
0.0162,600.823,11.776
0.0164,578.065,11.776
0.0166,578.44,11.778
0.0168,586.443,11.776
0.0170,577.69,11.776
0.0172,576.44,11.776
0.0174,571.063,11.77
0.0176,574.689,11.776
0.0178,573.314,11.78
0.0180,571.438,11.782
0.0182,567.562,11.78
0.0184,558.059,11.774
0.0186,559.684,11.776
0.0188,557.809,11.778
0.0190,545.805,11.774
0.0192,556.183,11.776
0.0194,565.061,11.78
0.0196,544.179,11.778
0.0198,547.305,11.778
0.0200,587.068,11.776
0.0202,576.565,11.772
0.0204,577.815,11.776
0.0206,580.816,11.778
0.0208,562.56,11.784
0.0210,548.18,11.778
0.0212,545.429,11.776
0.0214,545.554,11.778
0.0216,545.93,11.774
0.0218,546.43,11.78
0.0220,545.554,11.78
0.0222,545.429,11.784
0.0224,544.429,11.78
0.0226,577.94,11.778
0.0228,594.696,11.776
0.0230,583.317,11.774
0.0232,571.313,11.774
0.0234,577.315,11.776
0.0236,578.565,11.78
0.0238,567.562,11.776
0.0240,567.187,11.776
0.0242,566.311,11.772
0.0244,566.061,11.772
0.0246,569.187,11.774
0.0248,585.318,11.782
0.0250,568.562,11.78
0.0252,568.937,11.778
0.0254,571.688,11.776
0.0256,574.939,11.772
0.0258,567.687,11.774
0.0260,566.061,11.776
0.0262,568.312,11.776
0.0264,584.567,11.776
0.0266,576.565,11.776
0.0268,568.937,11.776
0.0270,567.187,11.776
0.0272,567.812,11.772
0.0274,566.436,11.78
0.0276,567.312,11.778
0.0278,565.686,11.776
0.0280,568.562,11.772
