Time (s),Main Avg Current (mA),Main Avg Voltage (V)
0.0048,545.44,11.78
0.0050,568.198,11.776
0.0052,575.576,11.778
0.0054,570.824,11.778
0.0056,567.448,11.774
0.0058,567.073,11.772
0.0060,569.699,11.77
0.0062,600.584,11.774
0.0064,580.077,11.78
0.0066,577.951,11.774
0.0068,586.454,11.778
0.0070,579.452,11.772
0.0072,579.077,11.774
0.0074,590.331,11.778
0.0076,582.078,11.778
0.0078,576.951,11.776
0.0080,581.453,11.78
0.0082,579.077,11.774
0.0084,580.452,11.772
0.0086,587.455,11.774
0.0088,585.579,11.772
0.0090,583.828,11.778
0.0092,576.826,11.78
0.0094,574.95,11.778
0.0096,568.448,11.778
0.0098,563.321,11.776
0.0100,557.694,11.776
0.0102,553.693,11.776
0.0104,541.814,11.778
0.0106,534.311,11.782
0.0108,542.939,11.77
0.0110,571.199,11.774
0.0112,564.947,11.772
0.0114,564.197,11.776
0.0116,561.07,11.776
0.0118,562.321,11.78
0.0120,562.321,11.778
0.0122,561.696,11.778
0.0124,550.067,11.778
0.0126,558.195,11.768
0.0128,590.456,11.774
0.0130,582.703,11.774
0.0132,584.829,11.776
0.0134,580.827,11.778
0.0136,580.202,11.776
0.0138,579.827,11.776
0.0140,577.951,11.776
0.0142,574.575,11.774
0.0144,573.7,11.778
0.0146,575.701,11.778
0.0148,581.703,11.774
0.0150,595.207,11.778
0.0152,576.076,11.774
0.0154,579.952,11.77
0.0156,589.956,11.774
0.0158,577.576,11.774
0.0160,576.076,11.78
0.0162,575.2,11.78
0.0164,574.45,11.772
0.0166,576.451,11.776
0.0168,573.95,11.772
0.0170,574.075,11.77
0.0172,574.325,11.776
0.0174,580.702,11.78
0.0176,560.695,11.78
0.0178,549.692,11.778
0.0180,553.943,11.776
0.0182,544.69,11.78
0.0184,540.188,11.778
0.0186,596.333,11.774
0.0188,584.329,11.782
0.0190,557.819,11.78
0.0192,549.692,11.772
0.0194,585.079,11.774
0.0196,580.577,11.774
0.0198,580.702,11.778
0.0200,578.952,11.778
0.0202,578.827,11.776
0.0204,579.452,11.774
0.0206,583.828,11.772
0.0208,584.079,11.774
0.0210,587.08,11.778
0.0212,574.45,11.778
0.0214,572.199,11.782
0.0216,568.698,11.78
0.0218,564.572,11.778
0.0220,550.692,11.778
0.0222,533.936,11.776
0.0224,527.934,11.778
0.0226,558.069,11.776
0.0228,551.067,11.78
0.0230,548.316,11.776
0.0232,555.068,11.776
0.0234,542.064,11.774
0.0236,573.45,11.774
0.0238,577.451,11.776
0.0240,571.449,11.78
0.0242,571.949,11.778
0.0244,573.325,11.774
0.0246,573.2,11.774
0.0248,571.449,11.772
0.0250,572.449,11.774
0.0252,572.575,11.778
0.0254,573.075,11.778
0.0256,581.203,11.78
0.0258,581.078,11.774
0.0260,581.328,11.774
0.0262,581.203,11.772
0.0264,581.203,11.772
0.0266,581.453,11.772
0.0268,581.578,11.776
0.0270,580.202,11.78
0.0272,591.206,11.776
0.0274,578.327,11.774
0.0276,574.45,11.77
0.0278,581.953,11.774
0.0280,579.452,11.776
0.0282,574.825,11.776
0.0284,585.329,11.778
0.0286,583.328,11.778
0.0288,567.573,11.774
0.0290,570.324,11.774
0.0292,563.196,11.778
0.0294,546.44,11.778
0.0296,547.316,11.778
0.0298,555.819,11.778
0.0300,537.312,11.776
0.0302,533.436,11.778
0.0304,542.564,11.776
0.0306,548.691,11.774
0.0308,585.579,11.778
0.0310,585.704,11.778
0.0312,586.079,11.778
0.0314,564.697,11.776
0.0316,540.688,11.778
0.0318,535.687,11.774
0.0320,543.689,11.774
0.0322,545.69,11.78
0.0324,545.19,11.782
0.0326,552.568,11.776
0.0328,555.694,11.776
0.0330,551.567,11.776
0.0332,550.067,11.776
0.0334,547.566,11.78
0.0336,548.816,11.778
0.0338,554.068,11.78
0.0340,553.943,11.78
0.0342,555.819,11.776
0.0344,555.193,11.774
0.0346,561.446,11.77
0.0348,555.569,11.774
0.0350,553.818,11.77
0.0352,584.579,11.776
0.0354,542.064,11.778
0.0356,538.938,11.776
0.0358,551.192,11.778
0.0360,556.444,11.778
0.0362,592.456,11.766
0.0364,591.081,11.774
0.0366,560.57,11.776
0.0368,565.322,11.776
0.0370,571.199,11.772
0.0372,569.073,11.774
0.0374,567.948,11.772
0.0376,566.572,11.774
0.0378,590.831,11.778
0.0380,558.069,11.78
0.0382,552.943,11.778
0.0384,553.568,11.778
0.0386,556.444,11.776
0.0388,550.567,11.772
0.0390,555.193,11.778
0.0392,544.815,11.778
0.0394,544.44,11.776
0.0396,546.065,11.774
0.0398,554.568,11.776
0.0400,530.685,11.776
0.0402,535.687,11.774
0.0404,559.695,11.778
0.0406,550.442,11.782
0.0408,550.567,11.776
0.0410,569.824,11.778
0.0412,547.691,11.782
0.0414,549.066,11.778
0.0416,555.193,11.776
0.0418,547.691,11.778
0.0420,548.441,11.776
0.0422,547.816,11.776
0.0424,554.443,11.774
0.0426,553.318,11.774
0.0428,554.568,11.774
0.0430,554.318,11.778
0.0432,556.069,11.778
0.0434,557.944,11.78
0.0436,564.322,11.778
0.0438,564.697,11.778
0.0440,560.57,11.778
0.0442,561.07,11.776
0.0444,563.571,11.776
0.0446,561.571,11.776
0.0448,561.696,11.78
0.0450,562.071,11.776
0.0452,562.446,11.774
0.0454,560.445,11.774
0.0456,560.445,11.77
0.0458,563.696,11.778
0.0460,568.573,11.778
0.0462,562.821,11.778
0.0464,562.446,11.778
0.0466,562.321,11.778
0.0468,562.196,11.776
0.0470,566.572,11.776
0.0472,555.068,11.774
0.0474,552.568,11.778
0.0476,553.068,11.778
0.0478,552.818,11.774
0.0480,552.943,11.774
0.0482,552.693,11.772
0.0484,556.694,11.772
0.0486,557.444,11.776
0.0488,559.445,11.782
0.0490,551.067,11.778
0.0492,564.697,11.778
0.0494,574.575,11.776
0.0496,574.075,11.772
0.0498,566.822,11.778
0.0500,554.443,11.774
0.0502,575.951,11.776
0.0504,569.573,11.778
0.0506,548.941,11.774
0.0508,565.572,11.774
0.0510,547.566,11.774
0.0512,577.576,11.77
0.0514,614.714,11.776
0.0516,587.705,11.78
0.0518,590.581,11.776
0.0520,603.96,11.772
0.0522,595.958,11.758
0.0524,622.592,11.772
0.0526,592.832,11.77
0.0528,588.83,11.774
0.0530,594.957,11.776
0.0532,593.957,11.76
0.0534,627.469,11.776
0.0536,578.827,11.772
0.0538,578.952,11.776
0.0540,576.826,11.778
0.0542,575.2,11.778
0.0544,574.325,11.782
0.0546,561.321,11.78
0.0548,575.325,11.776
0.0550,566.322,11.774
0.0552,556.694,11.774
0.0554,559.32,11.776
0.0556,557.444,11.778
0.0558,556.569,11.776
0.0560,557.069,11.778
0.0562,563.446,11.774
0.0564,553.193,11.776
0.0566,548.066,11.776
0.0568,542.564,11.784
0.0570,543.189,11.782
0.0572,544.69,11.78
0.0574,557.569,11.778
0.0576,556.694,11.776
0.0578,557.319,11.774
0.0580,556.569,11.772
0.0582,557.819,11.776
0.0584,556.569,11.78
0.0586,556.694,11.774
0.0588,557.694,11.776
0.0590,562.821,11.774
0.0592,565.072,11.772
0.0594,565.697,11.776
0.0596,566.572,11.776
0.0598,575.576,11.78
0.0600,570.324,11.78
0.0602,557.944,11.774
0.0604,573.825,11.772
0.0606,581.703,11.77
0.0608,595.332,11.77
0.0610,595.082,11.772
0.0612,599.959,11.776
0.0614,588.205,11.776
0.0616,587.705,11.778
0.0618,587.705,11.772
0.0620,589.205,11.772
0.0622,593.707,11.774
0.0624,587.83,11.778
0.0626,558.069,11.778
0.0628,569.073,11.776
0.0630,577.326,11.776
0.0632,566.697,11.774
0.0634,567.198,11.77
0.0636,575.576,11.776
0.0638,572.575,11.778
0.0640,573.325,11.778
0.0642,582.578,11.778
0.0644,588.08,11.772
0.0646,597.833,11.774
0.0648,572.575,11.774
0.0650,573.45,11.774
0.0652,575.45,11.778
0.0654,566.948,11.776
0.0656,569.699,11.772
0.0658,569.699,11.776
0.0660,550.692,11.772
0.0662,561.196,11.772
0.0664,590.206,11.776
0.0666,586.579,11.776
0.0668,584.704,11.776
0.0670,573.45,11.776
0.0672,575.576,11.774
0.0674,578.201,11.772
0.0676,580.077,11.77
0.0678,602.46,11.774
0.0680,583.203,11.778
0.0682,582.578,11.78
0.0684,561.07,11.778
0.0686,541.314,11.776
0.0688,561.321,11.772
0.0690,571.949,11.77
0.0692,571.949,11.774
0.0694,569.699,11.778
0.0696,570.824,11.778
0.0698,560.57,11.774
0.0700,577.701,11.77
0.0702,573.325,11.774
0.0704,572.575,11.778
0.0706,575.576,11.778
0.0708,565.072,11.782
0.0710,562.946,11.78
0.0712,556.694,11.778
0.0714,554.443,11.776
0.0716,556.444,11.774
0.0718,560.32,11.77
0.0720,558.945,11.776
0.0722,558.195,11.774
0.0724,556.069,11.778
0.0726,556.444,11.776
0.0728,556.194,11.776
0.0730,555.944,11.774
0.0732,569.448,11.774
0.0734,561.321,11.78
0.0736,552.317,11.784
0.0738,554.818,11.782
0.0740,551.317,11.782
0.0742,543.814,11.776
0.0744,548.566,11.774
0.0746,559.32,11.774
0.0748,557.944,11.776
0.0750,556.819,11.778
0.0752,557.944,11.778
0.0754,555.819,11.772
0.0756,552.818,11.776
0.0758,547.441,11.772
0.0760,559.82,11.772
0.0762,597.458,11.774
0.0764,601.335,11.776
0.0766,598.083,11.776
0.0768,586.579,11.772
0.0770,604.461,11.774
0.0772,583.828,11.77
0.0774,578.076,11.772
0.0776,586.955,11.774
0.0778,584.579,11.776
0.0780,585.579,11.778
0.0782,583.828,11.774
0.0784,577.451,11.774
0.0786,579.327,11.774
0.0788,577.701,11.776
0.0790,579.202,11.778
0.0792,576.451,11.776
0.0794,578.201,11.776
0.0796,580.577,11.774
0.0798,579.077,11.77
0.0800,586.704,11.77
0.0802,597.208,11.774
0.0804,602.835,11.774
0.0806,611.213,11.78
0.0808,601.96,11.776
0.0810,598.709,11.776
0.0812,571.324,11.776
0.0814,565.697,11.77
0.0816,571.324,11.772
0.0818,577.701,11.776
0.0820,566.822,11.772
0.0822,567.073,11.776
0.0824,571.324,11.782
0.0826,567.948,11.774
0.0828,570.824,11.774
0.0830,602.835,11.774
0.0832,609.212,11.78
0.0834,579.952,11.776
0.0836,581.203,11.774
0.0838,584.579,11.776
0.0840,565.072,11.774
0.0842,573.7,11.772
0.0844,581.953,11.776
0.0846,581.953,11.78
0.0848,569.198,11.778
0.0850,583.703,11.774
0.0852,591.331,11.774
0.0854,598.208,11.772
0.0856,610.963,11.768
0.0858,625.468,11.772
0.0860,596.583,11.778
0.0862,570.574,11.776
0.0864,577.451,11.774
0.0866,560.695,11.778
0.0868,557.194,11.776
0.0870,559.695,11.776
0.0872,557.694,11.778
0.0874,558.82,11.778
0.0876,561.821,11.774
0.0878,559.82,11.776
0.0880,560.445,11.772
0.0882,569.323,11.774
0.0884,572.95,11.776
0.0886,564.447,11.776
0.0888,563.196,11.78
0.0890,575.951,11.778
0.0892,605.961,11.774
0.0894,616.215,11.774
0.0896,598.959,11.77
0.0898,587.33,11.772
0.0900,578.952,11.776
0.0902,580.202,11.776
0.0904,575.701,11.776
0.0906,571.699,11.776
0.0908,565.072,11.778
0.0910,562.071,11.774
0.0912,555.944,11.776
0.0914,556.819,11.774
0.0916,562.446,11.774
0.0918,571.074,11.776
0.0920,566.322,11.776
0.0922,568.073,11.774
0.0924,574.325,11.77
0.0926,581.828,11.774
0.0928,588.83,11.776
0.0930,589.455,11.78
0.0932,590.206,11.776
0.0934,593.332,11.776
0.0936,601.585,11.772
0.0938,604.085,11.77
0.0940,604.961,11.772
0.0942,602.21,11.774
0.0944,598.959,11.774
0.0946,594.957,11.776
0.0948,549.441,11.778
0.0950,538.813,11.774
0.0952,549.692,11.78
0.0954,542.814,11.78
0.0956,546.565,11.78
0.0958,571.574,11.778
0.0960,582.078,11.778
0.0962,584.579,11.774
0.0964,590.331,11.774
0.0966,585.204,11.774
0.0968,562.196,11.776
0.0970,573.45,11.768
0.0972,607.587,11.774
0.0974,581.953,11.776
0.0976,586.955,11.774
0.0978,592.832,11.772
0.0980,593.457,11.778
0.0982,590.331,11.776
0.0984,577.326,11.778
0.0986,576.951,11.778
0.0988,577.201,11.778
0.0990,575.826,11.776
0.0992,572.449,11.774
0.0994,570.949,11.774
0.0996,561.696,11.776
0.0998,548.816,11.778
0.1000,573.825,11.774
0.1002,573.2,11.78
0.1004,571.574,11.774
0.1006,567.198,11.77
0.1008,564.947,11.776
0.1010,565.447,11.78
0.1012,565.322,11.78
0.1014,552.818,11.78
0.1016,551.692,11.774
0.1018,585.704,11.774
0.1020,607.462,11.77
0.1022,581.078,11.77
0.1024,580.327,11.774
0.1026,588.58,11.776
0.1028,581.828,11.774
0.1030,580.077,11.776
0.1032,576.076,11.776
0.1034,576.076,11.774
0.1036,574.45,11.776
0.1038,574.325,11.772
0.1040,574.2,11.778
0.1042,581.328,11.774
0.1044,578.452,11.774
0.1046,574.325,11.772
0.1048,574.825,11.772
0.1050,574.575,11.776
0.1052,573.575,11.782
0.1054,572.95,11.778
0.1056,569.573,11.782
0.1058,567.698,11.776
0.1060,568.448,11.772
0.1062,569.073,11.774
0.1064,562.071,11.772
0.1066,567.073,11.776
0.1068,553.193,11.776
0.1070,567.323,11.78
0.1072,541.189,11.782
0.1074,527.434,11.782
0.1076,531.185,11.774
0.1078,522.932,11.78
0.1080,532.936,11.772
0.1082,579.827,11.778
