Time (s),Main Avg Current (mA),Main Avg Voltage (V)
0.0000,578.452,11.782
0.0002,580.702,11.776
0.0004,585.329,11.774
0.0006,577.076,11.776
0.0008,629.344,11.774
0.0010,630.595,11.778
0.0012,624.468,11.774
0.0014,627.469,11.774
0.0016,620.966,11.772
0.0018,628.094,11.774
0.0020,621.216,11.778
0.0022,619.841,11.782
0.0024,626.093,11.782
0.0026,622.842,11.78
0.0028,619.091,11.774
0.0030,618.841,11.778
0.0032,617.465,11.774
0.0034,631.845,11.774
0.0036,636.347,11.78
0.0038,622.592,11.778
0.0040,621.592,11.776
0.0042,621.842,11.774
0.0044,622.342,11.772
0.0046,630.095,11.776
0.0048,632.47,11.778
0.0050,621.342,11.78
0.0052,621.592,11.778
0.0054,622.217,11.778
0.0056,621.967,11.772
0.0058,613.964,11.774
0.0060,583.953,11.778
0.0062,575.951,11.778
0.0064,584.454,11.776
0.0066,637.722,11.776
0.0068,606.711,11.778
0.0070,588.33,11.78
0.0072,619.841,11.772
0.0074,632.095,11.776
0.0076,622.967,11.778
0.0078,626.093,11.778
0.0080,610.588,11.78
0.0082,605.211,11.776
0.0084,610.963,11.772
0.0086,626.218,11.772
0.0088,625.343,11.774
0.0090,627.969,11.78
0.0092,626.843,11.78
0.0094,621.216,11.778
0.0096,630.22,11.776
0.0098,631.72,11.78
0.0100,583.578,11.774
0.0102,583.703,11.774
0.0104,632.095,11.774
0.0106,619.091,11.782
0.0108,596.458,11.778
0.0110,576.576,11.78
0.0112,608.337,11.776
0.0114,645.225,11.776
0.0116,632.846,11.78
0.0118,624.593,11.78
0.0120,624.968,11.778
0.0122,638.222,11.772
0.0124,630.595,11.77
0.0126,631.595,11.772
0.0128,620.841,11.774
0.0130,630.47,11.774
0.0132,632.095,11.778
0.0134,621.967,11.778
0.0136,623.217,11.778
0.0138,623.467,11.774
0.0140,621.592,11.776
0.0142,621.216,11.774
0.0144,627.719,11.78
0.0146,635.972,11.776
0.0148,631.345,11.776
0.0150,630.345,11.774
0.0152,621.467,11.77
0.0154,622.967,11.776
0.0156,621.967,11.778
0.0158,618.841,11.782
0.0160,619.341,11.78
0.0162,622.217,11.776
0.0164,620.966,11.778
0.0166,587.205,11.776
0.0168,582.453,11.776
0.0170,574.45,11.78
0.0172,587.455,11.778
0.0174,629.094,11.774
0.0176,619.466,11.776
0.0178,586.955,11.778
0.0180,576.076,11.778
0.0182,576.701,11.78
0.0184,610.713,11.778
0.0186,642.224,11.78
0.0188,635.847,11.778
0.0190,626.593,11.776
0.0192,623.592,11.774
0.0194,641.849,11.77
0.0196,634.346,11.774
0.0198,625.468,11.78
0.0200,624.843,11.776
0.0202,638.973,11.776
0.0204,624.843,11.774
0.0206,627.219,11.77
0.0208,639.473,11.776
0.0210,625.968,11.778
0.0212,632.721,11.78
0.0214,633.471,11.78
0.0216,623.842,11.776
0.0218,639.723,11.77
0.0220,654.103,11.774
0.0222,624.093,11.776
0.0224,624.593,11.776
0.0226,630.595,11.778
0.0228,627.344,11.78
0.0230,622.467,11.774
0.0232,628.969,11.772
0.0234,631.97,11.772
0.0236,629.594,11.782
0.0238,593.582,11.782
0.0240,580.452,11.782
0.0242,578.076,11.782
0.0244,615.84,11.774
0.0246,629.845,11.774
0.0248,600.834,11.778
0.0250,565.197,11.78
0.0252,563.571,11.782
0.0254,570.949,11.784
0.0256,615.214,11.778
0.0258,635.847,11.776
0.0260,626.968,11.774
0.0262,624.593,11.772
0.0264,627.219,11.772
0.0266,636.097,11.774
0.0268,639.223,11.778
0.0270,627.094,11.774
0.0272,626.718,11.778
0.0274,629.469,11.772
0.0276,630.22,11.774
0.0278,623.467,11.776
0.0280,623.592,11.774
0.0282,624.968,11.778
0.0284,626.343,11.774
0.0286,630.845,11.772
0.0288,624.093,11.772
0.0290,631.845,11.774
0.0292,634.471,11.78
0.0294,631.47,11.782
0.0296,623.592,11.78
0.0298,622.342,11.776
0.0300,621.967,11.772
0.0302,620.216,11.772
0.0304,621.091,11.776
0.0306,619.966,11.776
0.0308,619.466,11.78
0.0310,586.329,11.78
0.0312,577.201,11.778
0.0314,573.075,11.774
0.0316,614.089,11.774
0.0318,630.095,11.778
0.0320,602.585,11.784
0.0322,576.701,11.784
0.0324,578.201,11.782
0.0326,580.702,11.778
0.0328,622.092,11.774
0.0330,648.976,11.772
0.0332,643.724,11.774
0.0334,627.094,11.78
0.0336,625.093,11.776
0.0338,641.849,11.774
0.0340,630.845,11.772
0.0342,622.967,11.772
0.0344,638.347,11.774
0.0346,645.1,11.776
0.0348,635.847,11.78
0.0350,632.971,11.776
0.0352,629.094,11.778
0.0354,624.718,11.774
0.0356,628.719,11.774
0.0358,628.094,11.77
0.0360,626.468,11.776
0.0362,643.099,11.776
0.0364,625.468,11.774
0.0366,623.592,11.776
0.0368,618.966,11.772
0.0370,629.719,11.772
0.0372,628.969,11.778
0.0374,622.342,11.774
0.0376,623.217,11.78
0.0378,624.093,11.778
0.0380,621.592,11.778
0.0382,598.584,11.776
0.0384,579.327,11.776
0.0386,609.587,11.77
0.0388,631.345,11.776
0.0390,608.587,11.78
0.0392,578.577,11.778
0.0394,580.077,11.778
0.0396,577.701,11.77
0.0398,629.97,11.772
0.0400,645.85,11.778
0.0402,633.721,11.778
0.0404,631.47,11.784
0.0406,641.849,11.778
0.0408,639.223,11.78
0.0410,647.226,11.772
0.0412,652.728,11.77
0.0414,633.096,11.776
0.0416,634.596,11.776
0.0418,618.841,11.776
0.0420,613.964,11.778
0.0422,610.588,11.776
0.0424,611.588,11.774
0.0426,627.594,11.778
0.0428,627.469,11.776
0.0430,630.345,11.776
0.0432,650.602,11.782
0.0434,639.848,11.778
0.0436,625.468,11.772
0.0438,632.721,11.774
0.0440,624.593,11.774
0.0442,624.968,11.774
0.0444,632.721,11.776
0.0446,629.594,11.778
0.0448,620.591,11.78
0.0450,628.469,11.776
0.0452,595.583,11.778
0.0454,583.453,11.78
0.0456,578.201,11.774
0.0458,623.967,11.782
0.0460,584.079,11.774
0.0462,634.846,11.774
0.0464,638.973,11.774
0.0466,633.721,11.772
0.0468,639.473,11.776
0.0470,646.6,11.778
0.0472,637.722,11.782
0.0474,626.718,11.778
0.0476,651.977,11.776
0.0478,629.719,11.776
0.0480,638.598,11.772
0.0482,632.721,11.776
0.0484,630.345,11.776
0.0486,640.348,11.782
0.0488,628.594,11.776
0.0490,649.351,11.77
0.0492,629.97,11.774
0.0494,631.095,11.774
0.0496,600.834,11.778
0.0498,592.331,11.782
0.0500,585.454,11.782
0.0502,570.324,11.78
0.0504,570.574,11.778
0.0506,614.714,11.774
0.0508,602.585,11.78
0.0510,575.951,11.776
0.0512,621.592,11.774
0.0514,633.221,11.774
0.0516,631.845,11.776
0.0518,632.596,11.776
0.0520,635.346,11.774
0.0522,642.349,11.776
0.0524,654.978,11.778
0.0526,649.726,11.782
0.0528,647.226,11.776
0.0530,650.227,11.774
0.0532,652.227,11.772
0.0534,649.851,11.77
0.0536,648.226,11.776
0.0538,644.475,11.776
0.0540,634.471,11.778
0.0542,641.849,11.774
0.0544,671.359,11.77
0.0546,661.356,11.772
0.0548,651.352,11.778
0.0550,637.472,11.776
0.0552,654.103,11.774
0.0554,670.109,11.776
0.0556,660.23,11.774
0.0558,645.85,11.774
0.0560,631.72,11.772
0.0562,657.354,11.768
0.0564,673.61,11.774
0.0566,668.483,11.776
0.0568,653.228,11.778
0.0570,648.976,11.776
0.0572,657.229,11.774
0.0574,651.477,11.776
0.0576,648.726,11.772
0.0578,668.983,11.774
0.0580,661.856,11.776
0.0582,639.723,11.778
0.0584,626.468,11.778
0.0586,600.459,11.78
0.0588,581.453,11.776
0.0590,576.201,11.784
0.0592,571.199,11.778
0.0594,618.716,11.774
0.0596,674.36,11.778
0.0598,674.235,11.776
0.0600,651.352,11.78
0.0602,608.587,11.778
0.0604,603.335,11.776
0.0606,602.085,11.778
0.0608,601.96,11.78
0.0610,607.462,11.776
0.0612,602.085,11.776
0.0614,597.458,11.778
0.0616,584.204,11.776
0.0618,582.578,11.778
0.0620,584.079,11.786
0.0622,564.572,11.782
0.0624,571.699,11.784
0.0626,570.324,11.778
0.0628,569.323,11.782
0.0630,569.323,11.78
0.0632,571.199,11.778
0.0634,573.7,11.782
0.0636,572.324,11.78
0.0638,568.073,11.778
0.0640,572.074,11.778
0.0642,564.197,11.782
0.0644,557.444,11.78
0.0646,582.203,11.784
0.0648,561.446,11.782
0.0650,550.567,11.784
0.0652,550.067,11.782
0.0654,554.443,11.778
0.0656,563.821,11.774
0.0658,616.715,11.776
0.0660,575.576,11.778
0.0662,570.074,11.78
0.0664,583.078,11.78
0.0666,587.58,11.776
0.0668,585.204,11.78
0.0670,583.953,11.766
0.0672,590.581,11.78
0.0674,561.446,11.782
0.0676,570.699,11.782
0.0678,564.447,11.784
0.0680,565.197,11.782
0.0682,563.196,11.784
0.0684,565.947,11.78
0.0686,566.822,11.778
0.0688,576.076,11.778
0.0690,576.076,11.78
0.0692,568.073,11.778
0.0694,563.196,11.778
0.0696,559.07,11.78
0.0698,559.32,11.778
0.0700,558.82,11.778
0.0702,559.445,11.782
0.0704,559.945,11.784
0.0706,558.069,11.782
0.0708,558.57,11.78
0.0710,559.32,11.782
0.0712,559.57,11.778
0.0714,559.32,11.78
0.0716,561.196,11.782
0.0718,570.449,11.78
0.0720,577.826,11.782
0.0722,553.068,11.782
0.0724,554.693,11.78
0.0726,562.196,11.776
0.0728,564.572,11.778
0.0730,557.194,11.778
0.0732,555.944,11.782
0.0734,554.818,11.782
0.0736,558.195,11.782
0.0738,562.071,11.782
0.0740,562.321,11.778
0.0742,563.947,11.778
0.0744,565.947,11.78
0.0746,564.697,11.78
0.0748,562.946,11.78
0.0750,562.946,11.778
0.0752,555.819,11.776
0.0754,552.693,11.774
0.0756,553.443,11.778
0.0758,551.317,11.778
0.0760,552.317,11.786
0.0762,550.567,11.784
0.0764,546.065,11.782
0.0766,549.692,11.778
0.0768,550.567,11.774
0.0770,579.452,11.776
0.0772,560.445,11.778
0.0774,563.571,11.778
0.0776,569.699,11.782
0.0778,561.446,11.776
0.0780,560.945,11.774
0.0782,578.076,11.776
0.0784,561.946,11.778
0.0786,571.199,11.782
0.0788,576.451,11.782
0.0790,571.949,11.78
0.0792,567.198,11.778
0.0794,564.447,11.78
0.0796,564.822,11.774
0.0798,566.322,11.778
0.0800,565.072,11.776
0.0802,561.07,11.78
0.0804,581.578,11.778
0.0806,577.951,11.778
0.0808,563.321,11.78
0.0810,558.445,11.776
0.0812,560.07,11.776
0.0814,556.069,11.78
0.0816,552.693,11.78
0.0818,548.316,11.778
0.0820,581.453,11.782
0.0822,545.565,11.776
0.0824,547.566,11.774
0.0826,567.948,11.78
0.0828,589.956,11.776
0.0830,619.341,11.778
0.0832,624.968,11.78
0.0834,575.951,11.78
0.0836,578.952,11.772
0.0838,591.581,11.774
0.0840,589.08,11.776
0.0842,580.077,11.778
0.0844,593.582,11.78
0.0846,586.579,11.78
0.0848,569.699,11.772
0.0850,609.587,11.772
0.0852,618.966,11.774
0.0854,627.219,11.776
0.0856,631.095,11.778
0.0858,628.469,11.778
0.0860,632.47,11.772
0.0862,634.096,11.77
0.0864,634.471,11.768
0.0866,635.471,11.77
0.0868,637.972,11.772
0.0870,637.472,11.776
0.0872,623.842,11.778
0.0874,574.45,11.778
0.0876,570.699,11.776
0.0878,571.949,11.776
0.0880,574.45,11.776
0.0882,592.707,11.778
0.0884,572.449,11.786
0.0886,571.074,11.78
0.0888,599.834,11.78
0.0890,572.575,11.776
0.0892,580.827,11.774
0.0894,600.459,11.768
0.0896,649.601,11.774
0.0898,635.847,11.778
0.0900,644.35,11.774
0.0902,641.974,11.774
0.0904,640.973,11.77
0.0906,645.85,11.772
0.0908,646.976,11.774
0.0910,643.474,11.776
0.0912,600.459,11.782
0.0914,583.703,11.778
0.0916,586.579,11.776
0.0918,584.079,11.774
0.0920,583.703,11.77
0.0922,586.329,11.774
0.0924,587.08,11.78
0.0926,579.327,11.78
0.0928,590.081,11.78
0.0930,589.33,11.776
0.0932,611.588,11.772
0.0934,609.462,11.772
0.0936,597.083,11.778
0.0938,588.83,11.778
0.0940,591.581,11.778
0.0942,602.46,11.774
0.0944,600.084,11.774
0.0946,593.207,11.772
0.0948,602.71,11.772
0.0950,630.845,11.774
0.0952,636.222,11.776
0.0954,636.597,11.772
0.0956,638.347,11.774
0.0958,641.098,11.774
0.0960,642.349,11.774
0.0962,637.097,11.77
0.0964,643.099,11.774
0.0966,640.723,11.774
0.0968,647.226,11.774
0.0970,662.606,11.772
0.0972,646.725,11.772
0.0974,648.601,11.768
0.0976,654.353,11.768
0.0978,646.225,11.776
0.0980,644.475,11.778
0.0982,647.226,11.778
0.0984,641.724,11.776
0.0986,646.475,11.774
0.0988,645.225,11.774
0.0990,583.328,11.778
0.0992,576.326,11.778
0.0994,592.081,11.78
0.0996,579.577,11.778
0.0998,575.2,11.776
0.1000,581.828,11.776
0.1002,577.951,11.774
0.1004,575.701,11.778
0.1006,584.704,11.776
0.1008,595.583,11.776
0.1010,618.716,11.78
0.1012,626.218,11.776
0.1014,646.1,11.772
0.1016,643.349,11.77
0.1018,645.35,11.772
0.1020,638.848,11.774
0.1022,642.099,11.776
0.1024,637.722,11.776
0.1026,588.205,11.776
0.1028,584.704,11.774
0.1030,586.955,11.772
0.1032,586.204,11.782
0.1034,583.578,11.778
0.1036,584.329,11.78
0.1038,578.452,11.78
0.1040,581.578,11.776
0.1042,580.452,11.774
0.1044,590.456,11.772
0.1046,637.972,11.772
0.1048,653.353,11.774
0.1050,649.726,11.772
0.1052,641.724,11.772
0.1054,644.35,11.772
0.1056,644.725,11.776
0.1058,632.345,11.774
0.1060,631.345,11.778
0.1062,629.97,11.778
0.1064,629.594,11.776
0.1066,630.22,11.778
0.1068,634.096,11.774
0.1070,633.596,11.77
0.1072,637.847,11.772
0.1074,669.358,11.774
0.1076,633.971,11.776
0.1078,617.34,11.774
0.1080,616.715,11.776
0.1082,616.09,11.776
0.1084,614.339,11.776
0.1086,621.467,11.776
0.1088,626.718,11.778
0.1090,620.216,11.774
0.1092,623.217,11.778
0.1094,636.472,11.774
0.1096,627.969,11.772
0.1098,622.592,11.77
0.1100,631.47,11.772
0.1102,626.343,11.776
0.1104,621.717,11.778
0.1106,632.47,11.776
0.1108,626.593,11.78
0.1110,613.089,11.774
0.1112,620.591,11.77
0.1114,634.096,11.776
0.1116,601.084,11.78
0.1118,599.459,11.776
0.1120,611.088,11.778
0.1122,591.706,11.776
0.1124,592.456,11.776
0.1126,596.708,11.778
0.1128,593.457,11.778
0.1130,587.455,11.784
0.1132,587.58,11.782
0.1134,585.579,11.776
0.1136,607.212,11.78
0.1138,588.705,11.774
0.1140,575.701,11.776
0.1142,581.203,11.776
0.1144,595.833,11.776
0.1146,613.339,11.776
0.1148,620.466,11.772
0.1150,617.965,11.772
0.1152,615.816,11.774
0.1154,619.942,11.776
0.1156,620.442,11.776
0.1158,619.817,11.776
0.1160,599.561,11.776
0.1162,587.432,11.776
0.1164,585.556,11.776
0.1166,596.685,11.778
0.1168,600.811,11.778
0.1170,599.311,11.778
0.1172,596.81,11.778
0.1174,596.685,11.778
0.1176,594.809,11.774
0.1178,596.06,11.772
0.1180,603.437,11.776
0.1182,599.436,11.778
0.1184,591.308,11.78
0.1186,590.808,11.776
0.1188,589.683,11.778
0.1190,587.807,11.78
0.1192,593.934,11.772
0.1194,598.31,11.778
0.1196,581.43,11.778
0.1198,584.306,11.778
0.1200,591.933,11.776
0.1202,584.681,11.772
0.1204,574.928,11.776
0.1206,573.052,11.778
0.1208,566.675,11.78
0.1210,561.674,11.78
0.1212,559.673,11.782
0.1214,564.425,11.778
0.1216,570.927,11.776
0.1218,632.196,11.774
0.1220,623.193,11.774
0.1222,635.447,11.776
0.1224,634.071,11.774
0.1226,633.571,11.776
0.1228,630.57,11.774
0.1230,656.703,11.772
0.1232,635.197,11.772
0.1234,645.45,11.774
0.1236,651.327,11.776
0.1238,631.821,11.778
0.1240,639.323,11.778
0.1242,641.949,11.78
