Time (s),Main Avg Current (mA),Main Avg Voltage (V)
0.0000,588.455,11.774
0.0002,586.329,11.776
0.0004,574.575,11.778
0.0006,584.579,11.772
0.0008,587.08,11.776
0.0010,575.325,11.778
0.0012,580.452,11.776
0.0014,581.828,11.778
0.0016,576.451,11.774
0.0018,580.327,11.772
0.0020,576.201,11.77
0.0022,573.45,11.77
0.0024,574.7,11.778
0.0026,573.325,11.778
0.0028,575.576,11.778
0.0030,575.075,11.78
0.0032,567.698,11.774
0.0034,565.697,11.774
0.0036,587.83,11.772
0.0038,584.954,11.772
0.0040,585.579,11.776
0.0042,587.08,11.776
0.0044,589.455,11.776
0.0046,560.195,11.776
0.0048,555.318,11.774
0.0050,561.821,11.774
0.0052,558.445,11.782
0.0054,556.569,11.78
0.0056,556.319,11.782
0.0058,556.319,11.778
0.0060,558.945,11.772
0.0062,570.824,11.774
0.0064,571.824,11.776
0.0066,571.199,11.776
0.0068,569.448,11.778
0.0070,569.198,11.776
0.0072,570.199,11.774
0.0074,570.824,11.772
0.0076,578.702,11.774
0.0078,575.701,11.776
0.0080,580.077,11.782
0.0082,578.827,11.776
0.0084,578.201,11.778
0.0086,580.077,11.776
0.0088,574.575,11.77
0.0090,569.323,11.774
0.0092,565.072,11.778
0.0094,558.945,11.778
0.0096,560.695,11.782
0.0098,571.449,11.778
0.0100,580.077,11.772
0.0102,585.829,11.776
0.0104,588.455,11.772
0.0106,596.583,11.772
0.0108,596.458,11.774
0.0110,570.449,11.778
0.0112,571.824,11.778
0.0114,568.698,11.776
0.0116,571.824,11.772
0.0118,583.328,11.77
0.0120,606.836,11.778
0.0122,592.206,11.778
0.0124,594.582,11.78
0.0126,598.333,11.78
0.0128,585.579,11.776
0.0130,582.703,11.776
0.0132,578.076,11.774
0.0134,578.577,11.778
0.0136,576.701,11.778
0.0138,580.077,11.774
0.0140,579.827,11.776
0.0142,578.452,11.774
0.0144,578.702,11.774
0.0146,578.327,11.776
0.0148,578.452,11.778
0.0150,579.577,11.78
0.0152,578.201,11.778
0.0154,578.076,11.778
0.0156,578.452,11.778
0.0158,580.202,11.776
0.0160,577.201,11.774
0.0162,581.203,11.776
0.0164,582.078,11.778
0.0166,584.079,11.776
0.0168,584.829,11.772
0.0170,594.457,11.772
0.0172,570.574,11.774
0.0174,567.573,11.778
0.0176,589.33,11.778
0.0178,588.33,11.78
0.0180,594.832,11.776
0.0182,573.95,11.772
0.0184,586.955,11.772
0.0186,590.331,11.774
0.0188,589.205,11.772
0.0190,587.955,11.772
0.0192,588.08,11.774
0.0194,591.706,11.778
