Time (s),Main Avg Current (mA),Main Avg Voltage (V)
0.0000,554.797,11.776
0.0002,559.048,11.78
0.0004,555.422,11.78
0.0006,552.421,11.78
0.0008,560.173,11.78
0.0010,559.923,11.778
0.0012,578.679,11.778
0.0014,555.422,11.776
0.0016,557.673,11.776
0.0018,570.302,11.78
0.0020,557.173,11.774
0.0022,556.422,11.776
0.0024,553.796,11.774
0.0026,554.797,11.776
0.0028,554.297,11.78
0.0030,553.671,11.782
0.0032,556.172,11.782
0.0034,555.422,11.778
0.0036,555.672,11.774
0.0038,554.672,11.774
0.0040,547.92,11.778
0.0042,544.919,11.776
0.0044,543.168,11.782
0.0046,542.043,11.78
0.0048,542.043,11.778
0.0050,542.793,11.78
0.0052,542.168,11.776
0.0054,557.798,11.776
0.0056,548.295,11.778
0.0058,565.675,11.78
0.0060,556.547,11.776
0.0062,555.172,11.776
0.0064,560.298,11.772
0.0066,555.422,11.776
0.0068,561.799,11.78
0.0070,555.547,11.776
0.0072,564.05,11.78
0.0074,585.181,11.776
0.0076,580.305,11.778
0.0078,571.802,11.774
0.0080,566.675,11.772
0.0082,563.8,11.774
0.0084,575.678,11.78
0.0086,581.805,11.78
0.0088,588.307,11.78
0.0090,564.05,11.778
0.0092,554.672,11.778
0.0094,555.297,11.778
0.0096,548.42,11.782
0.0098,554.672,11.778
0.0100,586.557,11.78
0.0102,569.801,11.78
0.0104,559.798,11.778
0.0106,570.302,11.774
0.0108,563.549,11.772
0.0110,563.299,11.774
0.0112,583.556,11.776
0.0114,584.556,11.786
0.0116,560.549,11.778
0.0118,568.051,11.778
0.0120,558.548,11.776
0.0122,565.3,11.772
0.0124,560.298,11.778
0.0126,559.298,11.78
0.0128,558.423,11.782
0.0130,561.799,11.776
0.0132,560.298,11.778
0.0134,560.173,11.78
0.0136,576.554,11.776
0.0138,573.803,11.776
0.0140,563.424,11.778
0.0142,563.424,11.78
0.0144,568.176,11.776
0.0146,558.298,11.778
0.0148,563.174,11.776
0.0150,558.673,11.772
0.0152,573.678,11.78
0.0154,559.298,11.778
0.0156,560.549,11.782
0.0158,561.299,11.78
0.0160,561.924,11.778
0.0162,568.176,11.78
0.0164,560.799,11.776
0.0166,568.676,11.778
0.0168,559.923,11.776
0.0170,566.801,11.776
0.0172,559.048,11.778
0.0174,553.046,11.778
0.0176,546.794,11.776
0.0178,560.424,11.772
0.0180,586.182,11.776
0.0182,586.307,11.776
0.0184,559.798,11.78
0.0186,569.551,11.776
0.0188,577.679,11.774
0.0190,562.549,11.776
0.0192,558.673,11.77
0.0194,555.297,11.774
0.0196,554.922,11.776
0.0198,571.052,11.778
0.0200,584.681,11.778
0.0202,579.679,11.776
0.0204,573.052,11.778
0.0206,566.425,11.78
0.0208,564.925,11.776
0.0210,576.804,11.776
0.0212,597.56,11.778
0.0214,573.428,11.78
0.0216,546.294,11.774
0.0218,581.93,11.776
0.0220,538.292,11.776
0.0222,539.542,11.776
0.0224,569.801,11.78
0.0226,564.3,11.784
0.0228,562.174,11.78
0.0230,557.548,11.778
0.0232,602.437,11.778
0.0234,554.297,11.774
0.0236,560.048,11.772
0.0238,556.297,11.78
0.0240,568.426,11.778
0.0242,568.551,11.774
0.0244,549.67,11.78
0.0246,574.303,11.776
0.0248,543.668,11.778
0.0250,544.919,11.78
0.0252,559.673,11.78
0.0254,561.299,11.778
0.0256,551.171,11.776
