Time (s),Main Avg Current (mA),Main Avg Voltage (V)
2181.0312,608.802,11.768
2181.0314,607.426,11.772
2181.0316,592.422,11.772
2181.0318,606.676,11.772
2181.0320,597.799,11.778
2181.0322,579.918,11.776
2181.0324,597.298,11.774
2181.0326,591.547,11.772
2181.0328,583.419,11.776
2181.0330,597.674,11.774
2181.0332,587.17,11.776
2181.0334,591.547,11.776
2181.0336,587.796,11.776
2181.0338,601.049,11.768
2181.0340,588.296,11.774
2181.0342,593.672,11.77
2181.0344,591.922,11.774
2181.0346,572.791,11.778
2181.0348,551.66,11.78
2181.0350,541.782,11.78
2181.0352,544.283,11.78
2181.0354,545.158,11.776
2181.0356,541.032,11.776
2181.0358,537.656,11.782
2181.0360,535.53,11.78
2181.0362,535.28,11.78
2181.0364,534.28,11.774
2181.0366,555.161,11.776
2181.0368,561.038,11.77
2181.0370,577.543,11.774
2181.0372,542.532,11.776
2181.0374,538.406,11.78
2181.0376,533.655,11.778
2181.0378,533.28,11.782
2181.0380,532.404,11.778
2181.0382,532.404,11.774
2181.0384,532.154,11.78
2181.0386,532.154,11.78
2181.0388,534.53,11.782
2181.0390,550.285,11.778
2181.0392,543.783,11.774
2181.0394,584.92,11.772
2181.0396,598.299,11.766
2181.0398,601.8,11.77
2181.0400,600.424,11.776
2181.0402,597.924,11.776
2181.0404,604.425,11.774
2181.0406,608.302,11.774
2181.0408,640.436,11.77
2181.0410,625.432,11.774
2181.0412,624.431,11.772
2181.0414,601.8,11.776
2181.0416,596.048,11.776
2181.0418,607.301,11.776
2181.0420,593.297,11.772
2181.0422,615.929,11.772
2181.0424,603.425,11.77
2181.0426,609.302,11.772
2181.0428,596.048,11.774
2181.0430,605.176,11.772
2181.0432,632.309,11.776
2181.0434,621.68,11.768
2181.0436,628.432,11.77
2181.0438,608.302,11.778
2181.0440,593.797,11.778
2181.0442,620.43,11.776
2181.0444,619.305,11.774
2181.0446,601.049,11.774
2181.0448,604.676,11.768
2181.0450,616.054,11.766
2181.0452,630.933,11.77
2181.0454,606.426,11.774
2181.0456,602.425,11.774
2181.0458,630.058,11.772
2181.0460,613.928,11.776
2181.0462,597.173,11.776
2181.0464,594.798,11.772
2181.0466,596.298,11.78
2181.0468,571.916,11.778
2181.0470,571.666,11.782
2181.0472,557.162,11.78
2181.0474,554.411,11.774
2181.0476,549.91,11.778
2181.0478,548.784,11.774
2181.0480,566.164,11.776
2181.0482,618.054,11.774
2181.0484,643.812,11.772
2181.0486,618.805,11.778
2181.0488,567.54,11.776
2181.0490,568.415,11.774
2181.0492,567.165,11.778
2181.0494,567.165,11.776
2181.0496,567.54,11.78
2181.0498,566.664,11.776
2181.0500,560.163,11.778
2181.0502,542.908,11.776
2181.0504,543.658,11.774
2181.0506,562.038,11.772
2181.0508,574.042,11.776
2181.0510,553.786,11.778
2181.0512,544.158,11.778
2181.0514,542.783,11.78
2181.0516,545.783,11.78
2181.0518,551.785,11.778
2181.0520,542.908,11.778
2181.0522,536.531,11.782
2181.0524,539.407,11.782
2181.0526,538.906,11.782
2181.0528,526.403,11.778
2181.0530,530.279,11.774
2181.0532,527.403,11.776
2181.0534,521.526,11.776
2181.0536,522.402,11.776
2181.0538,542.032,11.784
2181.0540,527.153,11.78
2181.0542,534.28,11.78
2181.0544,540.407,11.78
2181.0546,531.654,11.778
2181.0548,531.029,11.78
2181.0550,529.404,11.778
2181.0552,528.028,11.782
2181.0554,528.528,11.78
2181.0556,527.903,11.778
2181.0558,526.903,11.776
2181.0560,527.403,11.772
2181.0562,537.281,11.774
2181.0564,536.281,11.776
2181.0566,533.155,11.784
2181.0568,531.529,11.78
2181.0570,527.278,11.78
2181.0572,525.778,11.78
2181.0574,527.153,11.782
2181.0576,527.403,11.78
2181.0578,524.777,11.778
2181.0580,522.777,11.782
2181.0582,522.777,11.78
2181.0584,524.027,11.778
2181.0586,524.277,11.774
2181.0588,523.277,11.774
2181.0590,524.277,11.778
2181.0592,524.652,11.78
2181.0594,524.652,11.778
