Time (s),Main Avg Current (mA),Main Avg Voltage (V)
3084.4838,616.268,11.774
3084.4840,616.143,11.776
3084.4842,618.268,11.774
3084.4844,617.143,11.774
3084.4846,620.269,11.772
3084.4848,607.766,11.77
3084.4850,608.641,11.77
3084.4852,622.645,11.772
3084.4854,644.275,11.768
3084.4856,688.035,11.766
3084.4858,704.289,11.764
3084.4860,703.538,11.768
3084.4862,630.271,11.77
3084.4864,620.894,11.77
3084.4866,640.274,11.774
3084.4868,634.147,11.776
3084.4870,647.275,11.774
3084.4872,669.28,11.764
3084.4874,720.542,11.77
3084.4876,682.909,11.762
3084.4878,673.531,11.77
3084.4880,677.157,11.762
3084.4882,725.794,11.772
3084.4884,671.531,11.768
3084.4886,659.403,11.766
3084.4888,636.773,11.768
3084.4890,633.272,11.77
3084.4892,622.519,11.772
3084.4894,620.519,11.776
3084.4896,632.522,11.774
3084.4898,648.276,11.772
3084.4900,621.019,11.776
3084.4902,615.643,11.77
3084.4904,642.774,11.77
3084.4906,669.405,11.766
3084.4908,679.033,11.77
3084.4910,672.531,11.768
3084.4912,669.906,11.768
3084.4914,680.658,11.766
3084.4916,685.159,11.77
3084.4918,708.539,11.762
3084.4920,735.671,11.77
3084.4922,672.781,11.774
3084.4924,630.771,11.778
3084.4926,629.771,11.774
3084.4928,682.658,11.77
3084.4930,672.531,11.766
3084.4932,679.783,11.77
3084.4934,648.776,11.772
3084.4936,628.771,11.772
3084.4938,641.774,11.768
3084.4940,640.649,11.77
3084.4942,626.52,11.77
3084.4944,626.395,11.778
3084.4946,596.638,11.77
3084.4948,673.281,11.772
3084.4950,679.033,11.772
3084.4952,671.906,11.774
3084.4954,673.281,11.77
3084.4956,673.781,11.772
3084.4958,654.277,11.774
3084.4960,619.894,11.778
3084.4962,551.378,11.776
3084.4964,621.644,11.774
3084.4966,584.636,11.77
3084.4968,671.156,11.768
3084.4970,677.657,11.768
3084.4972,685.534,11.776
3084.4974,606.266,11.782
3084.4976,604.265,11.778
3084.4978,618.394,11.774
3084.4980,587.636,11.77
3084.4982,670.906,11.768
3084.4984,695.286,11.768
3084.4986,670.406,11.768
3084.4988,670.156,11.772
3084.4990,658.903,11.774
3084.4992,655.277,11.772
3084.4994,660.278,11.77
3084.4996,647.025,11.774
3084.4998,571.383,11.78
3084.5000,529.373,11.778
3084.5002,598.389,11.78
3084.5004,597.889,11.784
3084.5006,585.136,11.772
3084.5008,686.909,11.77
3084.5010,683.159,11.768
3084.5012,654.277,11.768
3084.5014,655.402,11.77
3084.5016,649.526,11.772
3084.5018,643.899,11.774
3084.5020,632.897,11.772
3084.5022,573.758,11.782
3084.5024,564.506,11.774
3084.5026,614.268,11.772
3084.5028,608.391,11.784
3084.5030,605.39,11.776
3084.5032,661.904,11.774
3084.5034,659.028,11.776
3084.5036,648.651,11.77
3084.5038,646.275,11.772
3084.5040,642.274,11.77
3084.5042,644.15,11.77
3084.5044,630.646,11.778
3084.5046,566.506,11.782
3084.5048,550.003,11.778
3084.5050,615.143,11.776
3084.5052,617.018,11.778
3084.5054,586.136,11.774
3084.5056,669.155,11.77
3084.5058,667.155,11.778
3084.5060,652.902,11.778
3084.5062,649.651,11.776
3084.5064,649.526,11.77
3084.5066,646.275,11.768
3084.5068,632.397,11.774
3084.5070,587.261,11.782
3084.5072,525.622,11.788
3084.5074,508.493,11.78
3084.5076,588.762,11.776
3084.5078,602.265,11.778
3084.5080,570.757,11.78
3084.5082,644.9,11.772
3084.5084,680.283,11.774
3084.5086,659.528,11.772
3084.5088,664.279,11.778
3084.5090,650.276,11.772
3084.5092,645.775,11.774
3084.5094,653.777,11.768
3084.5096,636.648,11.774
3084.5098,558.13,11.782
3084.5100,545.752,11.776
3084.5102,568.257,11.774
3084.5104,624.895,11.776
3084.5106,651.401,11.774
3084.5108,676.282,11.77
3084.5110,664.904,11.776
3084.5112,612.892,11.782
3084.5114,538,11.776
3084.5116,604.14,11.782
3084.5118,585.886,11.768
3084.5120,667.905,11.77
3084.5122,666.03,11.772
3084.5124,646.4,11.774
3084.5126,650.651,11.774
3084.5128,648.276,11.776
3084.5130,649.276,11.776
3084.5132,647.15,11.774
3084.5134,649.651,11.774
3084.5136,609.266,11.784
3084.5138,536.124,11.784
3084.5140,534.374,11.782
3084.5142,580.135,11.778
3084.5144,594.638,11.776
3084.5146,541.501,11.78
3084.5148,513.994,11.78
3084.5150,521.621,11.78
3084.5152,518.37,11.782
3084.5154,517.245,11.784
3084.5156,512.994,11.784
3084.5158,511.869,11.782
3084.5160,529.623,11.78
3084.5162,519.37,11.78
3084.5164,521.621,11.784
3084.5166,515.995,11.786
3084.5168,504.367,11.786
3084.5170,503.242,11.782
3084.5172,504.867,11.782
3084.5174,500.491,11.782
3084.5176,498.241,11.78
3084.5178,515.369,11.776
3084.5180,515.369,11.782
3084.5182,508.118,11.782
3084.5184,516.995,11.782
3084.5186,521.371,11.782
3084.5188,523.746,11.784
3084.5190,522.996,11.778
3084.5192,525.247,11.778
3084.5194,539.5,11.782
3084.5196,546.377,11.782
3084.5198,528.623,11.784
3084.5200,529.373,11.78
3084.5202,527.497,11.776
3084.5204,524.872,11.774
3084.5206,534.749,11.776
3084.5208,551.128,11.776
3084.5210,540.125,11.782
3084.5212,531.873,11.782
3084.5214,533.749,11.78
3084.5216,524.247,11.78
3084.5218,525.747,11.774
3084.5220,544.876,11.782
3084.5222,536.625,11.78
3084.5224,518.62,11.784
3084.5226,523.872,11.784
3084.5228,516.495,11.78
3084.5230,517.995,11.776
3084.5232,539,11.774
3084.5234,540.5,11.778
3084.5236,519.37,11.778
3084.5238,525.247,11.784
3084.5240,517.62,11.784
3084.5242,516.245,11.78
3084.5244,516.995,11.78
3084.5246,515.119,11.778
3084.5248,516.37,11.778
3084.5250,517.245,11.784
3084.5252,524.622,11.786
3084.5254,526.997,11.782
3084.5256,522.871,11.782
3084.5258,523.621,11.78
3084.5260,521.246,11.774
3084.5262,521.246,11.778
3084.5264,518.995,11.778
3084.5266,518.995,11.78
3084.5268,513.869,11.784
3084.5270,510.618,11.78
3084.5272,507.868,11.778
3084.5274,506.617,11.78
3084.5276,511.369,11.78
3084.5278,513.494,11.784
3084.5280,508.118,11.786
3084.5282,507.243,11.78
3084.5284,507.868,11.784
3084.5286,508.493,11.782
3084.5288,510.618,11.778
3084.5290,517.245,11.776
3084.5292,518.62,11.78
3084.5294,518.995,11.78
3084.5296,519.37,11.78
3084.5298,521.871,11.78
3084.5300,524.747,11.778
3084.5302,523.997,11.776
3084.5304,524.122,11.778
3084.5306,533.249,11.782
3084.5308,544.626,11.78
3084.5310,535.374,11.784
3084.5312,525.747,11.782
3084.5314,530.498,11.778
3084.5316,521.621,11.78
3084.5318,523.872,11.776
3084.5320,543.626,11.78
3084.5322,538.625,11.782
3084.5324,518.62,11.778
3084.5326,521.621,11.776
3084.5328,514.994,11.776
3084.5330,515.995,11.772
3084.5332,539,11.776
3084.5334,537.5,11.782
3084.5336,515.119,11.78
3084.5338,520.246,11.78
3084.5340,510.993,11.78
3084.5342,507.118,11.778
3084.5344,515.87,11.778
3084.5346,522.121,11.782
3084.5348,506.743,11.782
3084.5350,523.997,11.782
3084.5352,537.25,11.778
3084.5354,515.745,11.78
3084.5356,510.993,11.776
3084.5358,535.624,11.772
3084.5360,558.13,11.776
3084.5362,543.501,11.774
3084.5364,544.876,11.776
3084.5366,545.752,11.776
3084.5368,546.252,11.774
3084.5370,548.752,11.776
3084.5372,554.254,11.778
3084.5374,556.754,11.78
3084.5376,558.255,11.782
3084.5378,556.004,11.78
3084.5380,557.254,11.778
3084.5382,564.006,11.776
3084.5384,565.631,11.774
3084.5386,559.63,11.772
3084.5388,554.504,11.776
3084.5390,542.126,11.78
3084.5392,516.62,11.778
3084.5394,526.997,11.78
3084.5396,525.622,11.776
3084.5398,520.371,11.776
3084.5400,529.998,11.778
3084.5402,540.375,11.78
3084.5404,537.875,11.782
3084.5406,536.875,11.78
3084.5408,537.125,11.78
3084.5410,529.748,11.78
3084.5412,529.248,11.776
3084.5414,530.748,11.776
3084.5416,535.624,11.774
3084.5418,543.876,11.776
3084.5420,550.753,11.776
3084.5422,547.127,11.778
3084.5424,527.997,11.774
3084.5426,534.374,11.774
3084.5428,531.498,11.776
3084.5430,529.498,11.776
3084.5432,549.377,11.778
3084.5434,549.252,11.778
3084.5436,530.123,11.778
3084.5438,536.625,11.776
3084.5440,531.873,11.776
3084.5442,533.374,11.778
3084.5444,545.126,11.782
3084.5446,552.628,11.778
3084.5448,520.496,11.78
3084.5450,536.75,11.778
3084.5452,549.127,11.774
3084.5454,550.753,11.776
3084.5456,559.63,11.77
3084.5458,578.259,11.776
3084.5460,565.006,11.776
3084.5462,561.38,11.772
3084.5464,575.008,11.776
3084.5466,556.379,11.772
3084.5468,566.381,11.774
3084.5470,565.131,11.776
3084.5472,534.249,11.778
3084.5474,545.251,11.78
3084.5476,550.378,11.78
3084.5478,543.126,11.778
3084.5480,538.5,11.776
3084.5482,548.752,11.774
3084.5484,552.628,11.774
3084.5486,565.881,11.772
3084.5488,565.256,11.776
3084.5490,546.252,11.778
3084.5492,546.627,11.776
3084.5494,544.126,11.776
3084.5496,537.25,11.774
3084.5498,537.875,11.778
3084.5500,550.753,11.776
3084.5502,538,11.78
3084.5504,533.874,11.78
3084.5506,515.745,11.78
3084.5508,513.744,11.778
3084.5510,550.628,11.776
3084.5512,553.003,11.778
3084.5514,549.252,11.776
3084.5516,533.749,11.784
3084.5518,525.497,11.778
3084.5520,549.252,11.778
3084.5522,567.757,11.77
3084.5524,572.258,11.77
3084.5526,565.881,11.772
3084.5528,577.134,11.776
3084.5530,553.378,11.778
3084.5532,545.627,11.778
3084.5534,554.629,11.77
3084.5536,605.515,11.772
3084.5538,619.019,11.774
3084.5540,549.127,11.78
3084.5542,547.252,11.78
3084.5544,565.881,11.778
3084.5546,572.008,11.778
3084.5548,553.003,11.776
3084.5550,550.253,11.776
3084.5552,540.875,11.776
3084.5554,539,11.774
3084.5556,552.753,11.778
3084.5558,562.13,11.776
3084.5560,550.753,11.776
3084.5562,546.002,11.776
3084.5564,543.376,11.774
3084.5566,542.501,11.77
3084.5568,553.628,11.776
3084.5570,572.508,11.776
3084.5572,562.255,11.78
3084.5574,546.002,11.78
3084.5576,549.127,11.774
3084.5578,543.376,11.778
3084.5580,543.126,11.778
3084.5582,543.751,11.774
3084.5584,548.627,11.78
3084.5586,542.751,11.78
3084.5588,542.001,11.778
3084.5590,542.751,11.776
