Time (s),Main Avg Current (mA),Main Avg Voltage (V)
259.5956,590.66,11.77
259.5958,590.285,11.77
259.5960,587.534,11.772
259.5962,587.534,11.772
259.5964,586.409,11.776
259.5966,588.534,11.778
259.5968,589.035,11.776
259.5970,588.784,11.778
259.5972,589.41,11.774
259.5974,589.91,11.774
259.5976,588.659,11.776
259.5978,590.035,11.776
259.5980,587.659,11.776
259.5982,585.659,11.774
259.5984,588.659,11.77
259.5986,549.899,11.78
259.5988,530.269,11.774
259.5990,541.021,11.78
259.5992,539.646,11.778
259.5994,554.65,11.782
259.5996,526.518,11.784
259.5998,523.392,11.78
259.6000,542.522,11.776
259.6002,544.397,11.778
259.6004,547.523,11.778
259.6006,577.656,11.776
259.6008,583.533,11.774
259.6010,594.661,11.772
259.6012,603.288,11.77
259.6014,597.662,11.774
259.6016,566.278,11.778
259.6018,551.649,11.778
259.6020,546.898,11.782
259.6022,539.271,11.78
259.6024,538.771,11.78
259.6026,537.896,11.778
259.6028,539.021,11.772
259.6030,557.276,11.778
259.6032,558.651,11.774
259.6034,558.276,11.776
259.6036,557.651,11.776
259.6038,549.274,11.772
259.6040,586.534,11.772
259.6042,588.534,11.772
259.6044,591.66,11.772
259.6046,586.409,11.778
259.6048,588.784,11.778
259.6050,589.035,11.778
259.6052,582.658,11.778
259.6054,583.533,11.774
259.6056,595.536,11.778
259.6058,584.658,11.774
259.6060,583.533,11.774
259.6062,589.41,11.778
259.6064,586.534,11.772
259.6066,586.159,11.77
259.6068,585.659,11.772
259.6070,577.781,11.776
259.6072,549.399,11.776
259.6074,541.897,11.784
259.6076,542.272,11.78
259.6078,541.147,11.782
259.6080,541.647,11.78
259.6082,541.772,11.774
259.6084,540.396,11.78
259.6086,540.396,11.776
259.6088,540.271,11.778
259.6090,540.021,11.78
259.6092,549.399,11.774
259.6094,594.536,11.772
259.6096,596.787,11.77
259.6098,592.035,11.768
259.6100,584.783,11.778
259.6102,547.023,11.78
259.6104,549.524,11.778
259.6106,560.777,11.78
259.6108,550.899,11.778
259.6110,554.15,11.776
259.6112,549.774,11.782
259.6114,543.397,11.778
259.6116,548.398,11.78
259.6118,558.901,11.776
259.6120,549.274,11.778
259.6122,545.398,11.776
259.6124,547.648,11.774
259.6126,542.272,11.776
259.6128,531.769,11.774
259.6130,546.773,11.774
259.6132,615.917,11.776
259.6134,592.911,11.774
259.6136,585.283,11.776
259.6138,589.785,11.772
259.6140,597.537,11.774
259.6142,585.659,11.776
259.6144,584.158,11.776
259.6146,586.784,11.772
259.6148,596.036,11.768
259.6150,610.915,11.772
259.6152,588.659,11.774
259.6154,586.409,11.772
259.6156,583.533,11.774
259.6158,581.783,11.776
259.6160,587.284,11.774
259.6162,608.54,11.776
259.6164,590.41,11.776
259.6166,586.659,11.774
259.6168,592.285,11.778
259.6170,596.412,11.774
259.6172,600.913,11.774
259.6174,601.288,11.772
259.6176,602.163,11.77
259.6178,598.912,11.768
259.6180,595.536,11.772
259.6182,587.409,11.776
259.6184,592.035,11.776
259.6186,570.78,11.78
259.6188,549.024,11.778
259.6190,549.274,11.778
259.6192,535.27,11.78
259.6194,532.144,11.778
259.6196,531.894,11.782
259.6198,531.019,11.782
259.6200,530.769,11.778
259.6202,530.769,11.78
259.6204,531.519,11.774
259.6206,538.021,11.774
259.6208,530.269,11.78
259.6210,548.273,11.778
259.6212,584.783,11.776
259.6214,558.276,11.78
259.6216,555.525,11.778
259.6218,552.775,11.78
259.6220,533.645,11.778
259.6222,539.521,11.776
259.6224,540.521,11.786
259.6226,534.395,11.78
259.6228,544.647,11.776
259.6230,558.901,11.776
259.6232,534.02,11.774
259.6234,543.147,11.776
259.6236,540.896,11.778
259.6238,549.024,11.776
259.6240,585.659,11.778
259.6242,587.659,11.778
259.6244,584.033,11.772
259.6246,578.782,11.77
259.6248,583.908,11.774
259.6250,579.532,11.772
259.6252,578.032,11.776
259.6254,576.656,11.772
259.6256,589.91,11.778
259.6258,580.532,11.772
259.6260,578.282,11.768
259.6262,575.281,11.778
259.6264,577.907,11.778
259.6266,563.528,11.78
259.6268,544.773,11.78
259.6270,534.02,11.78
259.6272,531.269,11.778
259.6274,531.769,11.776
259.6276,531.894,11.778
259.6278,532.144,11.78
259.6280,531.894,11.778
259.6282,532.394,11.778
259.6284,531.519,11.774
259.6286,545.148,11.774
259.6288,565.403,11.772
259.6290,581.533,11.776
259.6292,568.654,11.784
259.6294,543.022,11.782
