Time (s),Main Avg Current (mA),Main Avg Voltage (V)
0.0000,529.195,11.776
0.0002,511.438,11.776
0.0004,512.438,11.78
0.0006,515.44,11.782
0.0008,516.065,11.784
0.0010,524.943,11.78
0.0012,517.44,11.778
0.0014,514.689,11.78
0.0016,514.439,11.778
0.0018,514.564,11.78
0.0020,515.315,11.782
0.0022,516.065,11.788
0.0024,505.936,11.782
0.0026,505.811,11.778
0.0028,504.06,11.778
0.0030,504.561,11.776
0.0032,517.565,11.776
0.0034,528.194,11.778
0.0036,536.697,11.778
0.0038,526.319,11.778
0.0040,518.316,11.774
0.0042,526.819,11.774
0.0044,522.817,11.776
0.0046,525.193,11.78
0.0048,537.323,11.78
0.0050,531.195,11.786
0.0052,519.316,11.78
0.0054,522.942,11.78
0.0056,514.689,11.78
0.0058,508.062,11.778
0.0060,511.813,11.78
0.0062,510.563,11.78
0.0064,510.188,11.78
0.0066,510.563,11.78
0.0068,509.437,11.778
0.0070,508.062,11.776
0.0072,504.936,11.778
0.0074,500.184,11.78
0.0076,500.684,11.782
0.0078,496.933,11.786
0.0080,494.807,11.784
0.0082,496.308,11.784
0.0084,498.558,11.782
0.0086,508.312,11.78
0.0088,517.44,11.778
0.0090,518.191,11.778
0.0092,517.815,11.782
0.0094,517.815,11.778
0.0096,521.442,11.774
0.0098,520.566,11.776
0.0100,516.19,11.774
0.0102,520.942,11.776
0.0104,516.19,11.78
0.0106,519.441,11.78
0.0108,528.069,11.778
0.0110,531.57,11.782
0.0112,523.317,11.782
0.0114,533.946,11.776
0.0116,531.445,11.778
0.0118,524.193,11.778
0.0120,514.439,11.778
0.0122,509.312,11.782
0.0124,509.812,11.778
0.0126,510.313,11.776
0.0128,510.813,11.776
0.0130,509.687,11.776
0.0132,511.563,11.78
0.0134,512.063,11.78
0.0136,512.689,11.78
0.0138,512.188,11.78
0.0140,518.941,11.778
0.0142,521.192,11.778
0.0144,527.569,11.778
0.0146,525.943,11.778
0.0148,555.579,11.78
0.0150,536.072,11.778
0.0152,528.444,11.776
0.0154,529.695,11.774
0.0156,529.57,11.774
0.0158,520.441,11.778
0.0160,527.569,11.778
0.0162,545.826,11.778
0.0164,528.319,11.78
0.0166,531.445,11.78
0.0168,536.947,11.778
0.0170,536.947,11.776
0.0172,548.577,11.778
0.0174,554.454,11.776
0.0176,547.827,11.782
0.0178,547.451,11.774
0.0180,542.95,11.778
0.0182,536.197,11.774
0.0184,536.197,11.772
0.0186,535.947,11.776
0.0188,536.572,11.772
0.0190,536.322,11.78
0.0192,535.072,11.778
0.0194,537.948,11.776
0.0196,541.824,11.778
0.0198,545.951,11.778
0.0200,542.95,11.772
0.0202,545.075,11.78
0.0204,540.574,11.78
0.0206,528.945,11.776
0.0208,530.32,11.776
0.0210,529.07,11.774
0.0212,529.945,11.772
0.0214,530.695,11.776
0.0216,531.57,11.774
0.0218,531.32,11.78
0.0220,536.572,11.778
0.0222,536.947,11.774
0.0224,536.822,11.778
0.0226,536.947,11.776
0.0228,537.448,11.776
0.0230,538.073,11.78
0.0232,536.697,11.78
0.0234,542.825,11.778
0.0236,531.445,11.778
0.0238,529.32,11.778
0.0240,530.195,11.772
0.0242,527.569,11.776
0.0244,527.819,11.774
0.0246,528.069,11.78
0.0248,529.445,11.776
0.0250,530.32,11.778
0.0252,530.82,11.776
0.0254,526.694,11.778
0.0256,524.693,11.776
0.0258,534.572,11.778
0.0260,544.825,11.778
0.0262,548.327,11.776
0.0264,547.952,11.774
0.0266,554.829,11.772
0.0268,560.331,11.772
0.0270,550.327,11.772
0.0272,551.203,11.774
0.0274,573.961,11.776
0.0276,540.324,11.78
0.0278,537.323,11.776
0.0280,546.951,11.776
0.0282,545.326,11.772
0.0284,553.579,11.774
0.0286,561.832,11.78
0.0288,565.458,11.778
0.0290,554.204,11.778
0.0292,552.078,11.774
0.0294,546.576,11.774
0.0296,547.201,11.77
0.0298,548.077,11.774
0.0300,546.451,11.778
0.0302,547.201,11.778
0.0304,545.951,11.77
0.0306,546.576,11.776
0.0308,544.95,11.774
0.0310,555.204,11.77
0.0312,549.077,11.774
0.0314,545.451,11.778
0.0316,539.573,11.78
0.0318,548.202,11.778
0.0320,549.452,11.774
0.0322,544.95,11.776
0.0324,548.827,11.774
0.0326,548.452,11.774
0.0328,542.95,11.78
0.0330,531.946,11.78
0.0332,553.829,11.774
0.0334,585.215,11.772
0.0336,609.724,11.768
0.0338,607.348,11.766
0.0340,608.224,11.774
0.0342,608.599,11.774
0.0344,608.599,11.774
0.0346,608.724,11.774
0.0348,611.1,11.774
0.0350,608.474,11.772
0.0352,608.224,11.77
0.0354,611.975,11.772
0.0356,608.599,11.774
