Time (s),Main Avg Current (mA),Main Avg Voltage (V)
998.8494,523.382,11.782
998.8496,526.507,11.778
998.8498,534.009,11.774
998.8500,541.886,11.774
998.8502,531.384,11.78
998.8504,523.507,11.78
998.8506,523.507,11.782
998.8508,529.633,11.782
998.8510,529.758,11.78
998.8512,524.882,11.778
998.8514,525.007,11.774
998.8516,523.507,11.778
998.8518,515.88,11.78
998.8520,534.634,11.778
998.8522,523.382,11.776
998.8524,527.257,11.776
998.8526,529.008,11.776
998.8528,520.381,11.776
998.8530,514.254,11.778
998.8532,521.006,11.782
998.8534,529.883,11.786
998.8536,513.004,11.782
998.8538,515.755,11.778
998.8540,515.88,11.776
998.8542,528.008,11.776
998.8544,545.512,11.77
998.8546,602.902,11.776
998.8548,596.65,11.774
998.8550,595.15,11.772
998.8552,591.274,11.774
998.8554,593.399,11.77
998.8556,591.024,11.772
998.8558,583.522,11.774
998.8560,582.897,11.776
998.8562,581.771,11.774
998.8564,583.772,11.774
998.8566,589.148,11.77
998.8568,575.52,11.772
998.8570,566.267,11.776
998.8572,555.765,11.776
998.8574,521.006,11.782
998.8576,493.499,11.782
998.8578,505.252,11.782
998.8580,504.377,11.782
998.8582,502.751,11.778
998.8584,503.376,11.78
998.8586,503.376,11.782
998.8588,507.878,11.782
998.8590,521.881,11.778
998.8592,529.258,11.776
998.8594,526.507,11.774
998.8596,531.259,11.774
998.8598,532.134,11.772
998.8600,530.133,11.78
998.8602,528.883,11.782
998.8604,526.257,11.778
998.8606,525.382,11.78
998.8608,524.882,11.778
998.8610,527.132,11.78
998.8612,525.507,11.776
998.8614,525.507,11.778
998.8616,525.382,11.78
998.8618,524.132,11.778
998.8620,525.882,11.774
998.8622,528.258,11.776
998.8624,531.884,11.77
998.8626,531.759,11.778
998.8628,529.258,11.78
998.8630,530.883,11.78
998.8632,543.387,11.776
998.8634,548.263,11.778
998.8636,534.634,11.774
998.8638,528.758,11.772
998.8640,524.632,11.778
998.8642,518.255,11.78
998.8644,520.381,11.778
998.8646,537.135,11.778
998.8648,516.63,11.774
998.8650,519.756,11.776
998.8652,526.632,11.776
998.8654,518.13,11.782
998.8656,518.63,11.784
998.8658,517.38,11.782
998.8660,511.754,11.78
998.8662,506.127,11.778
998.8664,504.127,11.778
998.8666,504.627,11.776
998.8668,503.752,11.778
998.8670,503.877,11.778
998.8672,503.376,11.78
998.8674,502.751,11.776
998.8676,503.376,11.778
998.8678,503.627,11.78
998.8680,502.876,11.776
998.8682,497.625,11.782
998.8684,503.001,11.78
998.8686,499.125,11.782
998.8688,493.499,11.78
998.8690,492.624,11.778
998.8692,493.499,11.776
998.8694,492.874,11.776
998.8696,492.749,11.776
998.8698,493.499,11.78
998.8700,493.249,11.782
998.8702,493.249,11.778
998.8704,493.124,11.778
998.8706,496.625,11.778
998.8708,518.255,11.776
998.8710,525.507,11.78
998.8712,516.505,11.78
998.8714,511.128,11.78
998.8716,509.753,11.78
998.8718,510.378,11.774
998.8720,511.253,11.776
998.8722,504.502,11.774
998.8724,504.127,11.776
998.8726,503.251,11.78
998.8728,502.376,11.782
998.8730,506.252,11.776
998.8732,514.129,11.78
998.8734,498.625,11.778
998.8736,490.998,11.778
998.8738,489.998,11.78
998.8740,485.122,11.78
998.8742,492.499,11.778
998.8744,493.249,11.776
998.8746,504.127,11.776
998.8748,495.5,11.774
998.8750,502.501,11.774
998.8752,501.001,11.778
998.8754,504.002,11.78
998.8756,522.506,11.776
998.8758,551.764,11.778
998.8760,531.884,11.776
998.8762,527.508,11.774
998.8764,539.136,11.776
998.8766,518.13,11.776
998.8768,515.88,11.778
998.8770,515.004,11.776
998.8772,516.005,11.776
998.8774,514.504,11.776
998.8776,515.755,11.776
998.8778,512.879,11.776
998.8780,513.879,11.78
998.8782,514.754,11.782
998.8784,514.879,11.78
998.8786,513.629,11.78
998.8788,516.63,11.78
998.8790,517.005,11.772
998.8792,521.131,11.774
998.8794,519.631,11.776
998.8796,517.255,11.78
998.8798,521.131,11.776
998.8800,520.506,11.772
998.8802,519.756,11.778
998.8804,517.63,11.778
998.8806,516.88,11.778
998.8808,518.63,11.78
998.8810,517.005,11.782
998.8812,516.88,11.78
998.8814,517.13,11.778
998.8816,516.63,11.774
998.8818,522.631,11.774
998.8820,534.509,11.774
998.8822,532.259,11.774
998.8824,558.265,11.774
998.8826,585.397,11.772
998.8828,603.027,11.77
998.8830,603.277,11.774
998.8832,601.651,11.768
998.8834,602.777,11.772
998.8836,602.401,11.77
998.8838,602.401,11.772
998.8840,602.401,11.768
998.8842,603.527,11.766
998.8844,610.654,11.766
998.8846,577.645,11.772
998.8848,587.023,11.772
998.8850,639.661,11.766
998.8852,684.047,11.768
998.8854,735.06,11.766
998.8856,759.941,11.76
998.8858,775.82,11.76
998.8860,755.315,11.758
998.8862,763.442,11.762
998.8864,767.693,11.762
998.8866,756.69,11.762
998.8868,754.565,11.762
998.8870,775.195,11.762
998.8872,759.441,11.758
998.8874,769.694,11.762
998.8876,775.07,11.762
998.8878,768.443,11.764
998.8880,767.818,11.766
998.8882,768.193,11.76
998.8884,776.695,11.758
998.8886,767.318,11.764
998.8888,764.942,11.764
998.8890,762.317,11.762
998.8892,773.82,11.762
998.8894,772.069,11.764
998.8896,771.944,11.766
998.8898,776.195,11.756
998.8900,821.582,11.766
998.8902,789.074,11.762
998.8904,789.074,11.766
998.8906,752.064,11.766
998.8908,769.319,11.762
998.8910,785.823,11.758
998.8912,782.572,11.756
998.8914,779.821,11.76
998.8916,745.438,11.772
998.8918,728.433,11.766
998.8920,766.818,11.77
998.8922,755.69,11.768
998.8924,756.19,11.766
998.8926,753.065,11.764
998.8928,764.692,11.768
998.8930,752.064,11.764
998.8932,773.07,11.774
998.8934,752.689,11.766
998.8936,757.316,11.766
998.8938,760.691,11.764
998.8940,733.56,11.768
998.8942,681.922,11.772
998.8944,678.296,11.77
998.8946,665.042,11.776
998.8948,661.166,11.772
998.8950,678.046,11.768
998.8952,726.808,11.766
998.8954,706.428,11.776
998.8956,653.789,11.774
998.8958,653.664,11.77
998.8960,671.919,11.774
998.8962,682.297,11.766
998.8964,758.691,11.762
998.8966,709.929,11.772
998.8968,657.79,11.774
998.8970,685.798,11.77
998.8972,701.176,11.78
998.8974,626.032,11.776
998.8976,662.542,11.772
998.8978,653.414,11.776
998.8980,623.907,11.774
998.8982,622.782,11.776
998.8984,621.531,11.778
998.8986,610.529,11.778
998.8988,617.78,11.78
998.8990,617.405,11.776
998.8992,611.654,11.774
998.8994,610.654,11.776
998.8996,578.145,11.774
998.8998,605.777,11.78
998.9000,610.403,11.778
998.9002,609.153,11.772
998.9004,603.402,11.772
998.9006,676.045,11.764
998.9008,740.061,11.764
998.9010,741.312,11.768
998.9012,741.187,11.772
998.9014,741.312,11.77
998.9016,741.562,11.778
998.9018,739.686,11.764
998.9020,790.949,11.764
998.9022,729.183,11.77
998.9024,738.936,11.77
998.9026,738.061,11.772
998.9028,737.811,11.772
998.9030,739.686,11.77
998.9032,744.187,11.766
998.9034,744.437,11.766
998.9036,751.689,11.766
998.9038,752.439,11.768
998.9040,751.314,11.76
998.9042,812.329,11.766
998.9044,855.215,11.768
998.9046,770.444,11.768
998.9048,758.191,11.768
998.9050,758.941,11.772
998.9052,753.69,11.774
998.9054,751.689,11.77
998.9056,752.189,11.77
998.9058,739.936,11.762
998.9060,777.821,11.762
998.9062,766.943,11.764
998.9064,757.816,11.766
998.9066,761.317,11.772
998.9068,761.817,11.768
998.9070,761.567,11.77
998.9072,761.192,11.772
998.9074,760.691,11.772
998.9076,760.566,11.77
998.9078,759.566,11.77
998.9080,759.441,11.77
998.9082,766.943,11.776
998.9084,737.311,11.772
998.9086,691.924,11.774
998.9088,674.045,11.774
998.9090,673.794,11.776
998.9092,680.671,11.776
998.9094,692.549,11.776
998.9096,699.801,11.776
998.9098,682.172,11.774
998.9100,700.801,11.768
998.9102,714.555,11.774
998.9104,722.557,11.77
998.9106,722.307,11.772
998.9108,720.556,11.772
998.9110,720.806,11.772
998.9112,721.181,11.768
998.9114,722.307,11.772
998.9116,719.431,11.778
998.9118,678.671,11.776
998.9120,694.55,11.78
998.9122,666.168,11.778
998.9124,681.796,11.776
998.9126,691.299,11.78
998.9128,622.907,11.778
998.9130,618.906,11.778
998.9132,627.158,11.772
998.9134,673.419,11.776
998.9136,663.792,11.776
998.9138,647.288,11.776
998.9140,617.28,11.774
998.9142,641.161,11.772
998.9144,666.918,11.774
998.9146,719.681,11.772
998.9148,735.81,11.776
998.9150,730.434,11.772
998.9152,725.933,11.774
998.9154,708.303,11.768
998.9156,704.802,11.77
998.9158,709.178,11.77
998.9160,714.305,11.77
998.9162,701.051,11.776
998.9164,699.051,11.772
998.9166,707.428,11.766
998.9168,706.678,11.776
998.9170,701.051,11.776
998.9172,703.177,11.776
998.9174,697.175,11.778
998.9176,695.675,11.774
998.9178,688.923,11.78
998.9180,688.048,11.778
998.9182,691.549,11.77
998.9184,706.178,11.77
998.9186,698.676,11.776
998.9188,703.677,11.774
998.9190,699.051,11.772
998.9192,703.427,11.77
